GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings"
4620851.00,CT,Chambly,5.68866,4869,2183,2114,1210.00,900.00
4620852.01,CT,Carignan,55.80159,6669,2366,2321,2185.00,130.00
4620852.02,CT,Carignan,8.9225,757,331,318,275.00,35.00
4620853.02,CT,Saint-Basile-le-Grand,20.65538,5377,2081,2049,1790.00,245.00
4620853.03,CT,Saint-Basile-le-Grand,3.07687,4754,1852,1817,1490.00,330.00
4620853.04,CT,Saint-Basile-le-Grand,13.31479,5474,1883,1868,1780.00,90.00
4620854.01,CT,Saint-Bruno-de-Montarville,2.81675,5510,1971,1951,1835.00,115.00
4620854.02,CT,Saint-Bruno-de-Montarville,21.10284,5987,2151,2123,1990.00,135.00
4620855.01,CT,Saint-Bruno-de-Montarville,7.93149,5072,1890,1860,1760.00,95.00
4620855.02,CT,Saint-Bruno-de-Montarville,12.18783,7819,3379,3293,2335.00,955.00
4620856.00,CT,Longueuil,15.89372,1752,861,765,415.00,340.00
4620857.01,CT,Longueuil,1.51778,4989,1957,1927,1420.00,510.00
4620857.02,CT,Longueuil,1.17771,4251,1628,1595,1190.00,405.00
4620857.06,CT,Longueuil,1.44809,5820,2171,2136,1640.00,495.00
4620857.07,CT,Longueuil,9.9911,6741,2290,2268,2010.00,255.00
4620857.08,CT,Longueuil,3.90814,4646,2348,2289,1460.00,825.00
4620857.09,CT,Longueuil,2.35591,4187,1464,1444,1375.00,70.00
4620857.10,CT,Longueuil,6.48252,3728,1320,1285,1115.00,170.00
4620857.11,CT,Longueuil,2.14276,3145,1191,1175,1125.00,60.00
4620857.12,CT,Longueuil,1.10113,3871,1422,1413,1190.00,215.00
4620858.01,CT,Longueuil,1.52315,4594,1707,1684,1550.00,130.00
4620858.02,CT,Longueuil,1.19967,4017,1544,1525,1130.00,390.00
4620858.03,CT,Longueuil,12.90216,7775,2693,2653,2435.00,215.00
4620859.00,CT,Brossard,0.73955,2612,1072,1027,755.00,275.00
4620860.01,CT,Longueuil,1.6777,6431,2408,2363,2065.00,300.00
4620860.02,CT,Longueuil,1.19359,3995,1606,1567,860.00,705.00
4620861.00,CT,Longueuil,1.90635,6658,3329,3210,1585.00,1625.00
4620862.00,CT,Saint-Lambert,2.25281,7079,3722,3596,2330.00,1265.00
4620863.01,CT,Saint-Lambert,1.39001,3392,1548,1495,985.00,510.00
4620863.02,CT,Saint-Lambert,1.91906,5904,3125,2997,1300.00,1695.00
4620864.00,CT,Saint-Lambert,1.9951,5224,2177,2134,1580.00,555.00
4620865.00,CT,Longueuil,0.50465,1937,1048,999,395.00,600.00
4620866.00,CT,Longueuil,0.49581,3212,1766,1688,380.00,1305.00
4620867.00,CT,Longueuil,1.51453,6229,3078,2973,1165.00,1800.00
4620868.01,CT,Longueuil,1.59335,5696,2155,2120,1560.00,560.00
4620868.02,CT,Longueuil,1.2297,5587,2455,2363,1010.00,1350.00
4620869.00,CT,Longueuil,1.07711,3131,1289,1273,800.00,475.00
4620870.01,CT,Longueuil,1.04853,3836,1648,1578,525.00,1050.00
4620870.02,CT,Longueuil,0.59321,2329,1053,1024,505.00,515.00
4620871.01,CT,Longueuil,0.72714,3785,1834,1799,640.00,1160.00
4620871.02,CT,Longueuil,0.4712,2011,833,811,550.00,265.00
4620872.00,CT,Longueuil,1.72521,6395,3027,2918,980.00,1935.00
4620873.01,CT,Longueuil,0.42265,4253,2018,1939,250.00,1690.00
4620873.02,CT,Longueuil,0.65603,4422,2213,2125,305.00,1815.00
4620874.00,CT,Longueuil,0.85991,5066,2344,2276,790.00,1485.00
4620875.00,CT,Longueuil,0.72302,5025,2625,2512,585.00,1925.00
4620876.01,CT,Longueuil,0.74494,4203,1766,1684,395.00,1285.00
4620876.03,CT,Longueuil,1.99801,7736,3127,3056,1790.00,1265.00
4620876.04,CT,Longueuil,2.26222,6171,2140,2115,1970.00,145.00
4620876.05,CT,Longueuil,4.82102,6576,2742,2683,1815.00,870.00
4620877.01,CT,Longueuil,5.0706,6470,2797,2739,2270.00,465.00
4620877.02,CT,Longueuil,1.4998,5610,2464,2387,1070.00,1315.00
4620878.00,CT,Longueuil,1.08166,5135,2675,2570,675.00,1895.00
4620879.01,CT,Longueuil,0.62021,3195,1666,1601,545.00,1055.00
4620879.02,CT,Longueuil,0.76488,3843,2057,1993,920.00,1080.00
4620880.00,CT,Longueuil,0.9029,4182,2220,2143,930.00,1210.00
4620881.01,CT,Longueuil,0.53939,3604,1768,1712,540.00,1175.00
4620881.02,CT,Longueuil,0.61193,3756,1900,1834,670.00,1165.00
4620882.00,CT,Longueuil,0.71617,2612,1369,1311,505.00,810.00
4620883.00,CT,Longueuil,0.99137,2671,1498,1392,550.00,840.00
4620884.01,CT,Longueuil,0.72149,3001,1667,1596,340.00,1255.00
4620884.02,CT,Longueuil,1.91976,7344,4370,4201,1310.00,2890.00
4620885.00,CT,Longueuil,1.6144,3879,1889,1799,530.00,1270.00
4620886.01,CT,Longueuil,4.39721,3275,1535,1508,890.00,620.00
