GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data",v_CA06_1242: University certificate or degree,"v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data",v_CA06_1270: University certificate or degree
4620513.01,CT,Montréal,1.10599,5059,1803,1749,740.00,2710.00,40.00,610.00,65.00
4620513.02,CT,Montréal,1.23409,4046,1671,1617,495.00,2165.00,45.00,615.00,65.00
4620514.01,CT,Montréal,1.98564,6127,2453,2362,805.00,3340.00,25.00,815.00,105.00
4620514.02,CT,Montréal,1.89029,6182,2163,2105,855.00,3405.00,20.00,560.00,30.00
4620515.01,CT,Montréal,9.09321,4835,1635,1546,500.00,2595.00,15.00,340.00,55.00
4620515.02,CT,Montréal,0.95144,4256,1510,1476,490.00,2450.00,50.00,175.00,15.00
4620515.03,CT,Montréal,0.93719,3437,1220,1195,585.00,1905.00,25.00,305.00,25.00
4620515.04,CT,Montréal,0.83767,3569,1288,1255,455.00,1995.00,25.00,300.00,45.00
4620520.02,CT,Dollard-Des Ormeaux,1.71062,6938,2416,2348,1020.00,3690.00,65.00,900.00,135.00
4620520.03,CT,Dollard-Des Ormeaux,1.49966,3990,1358,1310,660.00,2260.00,50.00,345.00,50.00
4620520.04,CT,Dollard-Des Ormeaux,1.07006,4378,1768,1665,650.00,2445.00,35.00,535.00,100.00
4620521.01,CT,Dollard-Des Ormeaux,0.84016,4439,1631,1593,715.00,2490.00,40.00,405.00,30.00
4620521.04,CT,Dollard-Des Ormeaux,1.39433,5150,1794,1709,790.00,2740.00,80.00,615.00,180.00
4620521.05,CT,Dollard-Des Ormeaux,1.36894,4660,1321,1292,810.00,2410.00,65.00,265.00,35.00
4620521.06,CT,Dollard-Des Ormeaux,2.171,4757,1547,1513,710.00,2610.00,115.00,510.00,80.00
4620521.07,CT,Dollard-Des Ormeaux,2.07153,4603,1460,1346,735.00,2265.00,100.00,650.00,60.00
4620522.01,CT,Dollard-Des Ormeaux,1.24473,3725,1334,1308,540.00,2020.00,60.00,525.00,80.00
4620522.02,CT,Dollard-Des Ormeaux,1.0749,3804,1569,1464,520.00,2085.00,20.00,610.00,80.00
4620523.00,CT,Dollard-Des Ormeaux,0.76167,2486,812,804,320.00,1270.00,50.00,400.00,85.00
4620530.00,CT,Montréal,2.2174,5948,2162,2105,835.00,3135.00,55.00,890.00,145.00
4620540.00,CT,Montréal,0.85264,3265,1648,1539,470.00,1735.00,20.00,430.00,50.00
4620550.02,CT,Montréal,13.37441,2803,1114,1071,360.00,1590.00,20.00,335.00,70.00
4620550.03,CT,Montréal,5.07415,6333,2060,2024,820.00,3435.00,35.00,430.00,70.00
4620550.04,CT,Montréal,4.35741,5189,1826,1793,840.00,2970.00,50.00,350.00,30.00
4620570.00,CT,Montréal-Est,12.48674,3822,1711,1642,500.00,2125.00,0.00,450.00,15.00
4620580.01,CT,Montréal,1.22053,4246,1827,1794,530.00,2445.00,25.00,430.00,15.00
4620580.02,CT,Montréal,0.77763,2469,1193,1160,240.00,1695.00,10.00,135.00,0.00
4620580.03,CT,Montréal,1.08262,4101,1546,1522,605.00,2355.00,15.00,350.00,25.00
4620581.01,CT,Montréal,1.3127,5947,2486,2321,895.00,3065.00,35.00,935.00,45.00
4620581.02,CT,Montréal,0.6809,3769,1582,1549,590.00,2120.00,25.00,370.00,20.00
4620582.01,CT,Montréal,1.18257,7072,3255,3165,980.00,3955.00,45.00,965.00,10.00
4620582.02,CT,Montréal,1.27355,6024,2660,2587,790.00,3285.00,10.00,895.00,35.00
4620583.00,CT,Montréal,0.7515,3284,1319,1281,435.00,1705.00,0.00,585.00,45.00
4620584.00,CT,Montréal,1.6371,7205,3245,3163,880.00,4040.00,15.00,1030.00,35.00
4620585.01,CT,Montréal,3.50378,1925,728,715,235.00,1140.00,15.00,125.00,15.00
4620585.02,CT,Montréal,5.57999,3802,1615,1554,470.00,1825.00,10.00,740.00,30.00
4620590.01,CT,Montréal,1.41881,5367,2278,2208,655.00,3000.00,15.00,545.00,30.00
4620590.02,CT,Montréal,0.29182,2940,1425,1365,385.00,1680.00,15.00,400.00,15.00
4620591.01,CT,Montréal,0.48486,2511,1086,1054,310.00,1375.00,10.00,385.00,40.00
4620591.02,CT,Montréal,0.68275,4022,1697,1672,415.00,2125.00,10.00,670.00,80.00
4620592.00,CT,Montréal,0.97608,6888,3156,3071,795.00,3705.00,40.00,1250.00,145.00
4620593.00,CT,Montréal,1.50448,8799,5031,4702,625.00,4465.00,60.00,2845.00,215.00
4620594.01,CT,Montréal,0.39382,2929,1425,1390,315.00,1705.00,15.00,425.00,0.00
4620594.02,CT,Montréal,7.95933,7435,3622,3527,680.00,4230.00,15.00,1530.00,110.00
4620600.01,CT,Montréal,0.75009,3762,1602,1581,350.00,2090.00,35.00,740.00,35.00
4620600.02,CT,Montréal,0.4173,3742,1785,1731,395.00,2055.00,10.00,695.00,10.00
4620600.03,CT,Montréal,0.71667,5725,2783,2637,485.00,2635.00,15.00,1570.00,40.00
4620601.01,CT,Montréal,0.31832,3138,1348,1317,315.00,1605.00,20.00,750.00,40.00
4620601.02,CT,Montréal,0.423,3053,1452,1409,315.00,1680.00,15.00,575.00,15.00
4620602.01,CT,Montréal,0.54555,3295,1494,1442,315.00,1680.00,50.00,835.00,0.00
4620602.02,CT,Montréal,0.62028,2809,1202,1166,250.00,1475.00,25.00,525.00,0.00
4620603.01,CT,Montréal,0.52509,3587,1547,1500,345.00,1990.00,10.00,675.00,0.00
4620603.02,CT,Montréal,0.61898,3508,1657,1483,270.00,1850.00,30.00,830.00,10.00
4620603.03,CT,Montréal,0.35491,3448,1364,1322,450.00,1780.00,10.00,495.00,20.00
4620604.01,CT,Montréal,0.91207,3133,1159,1129,385.00,1495.00,20.00,730.00,35.00
4620604.02,CT,Montréal,0.32222,4350,1795,1744,480.00,2435.00,35.00,610.00,30.00
4620604.03,CT,Montréal,0.49447,3052,1274,1236,380.00,1680.00,0.00,550.00,10.00
4620604.04,CT,Montréal,0.78121,3302,1370,1333,370.00,1895.00,10.00,460.00,25.00
4620604.05,CT,Montréal,0.60067,4062,1689,1622,450.00,2285.00,40.00,590.00,40.00
4620605.01,CT,Montréal,1.33932,3033,1421,1369,270.00,1590.00,15.00,720.00,15.00
4620605.02,CT,Montréal,0.59212,1959,742,726,185.00,1010.00,0.00,525.00,10.00
4620605.03,CT,Montréal,1.03504,5618,2439,2366,560.00,3250.00,45.00,750.00,10.00
4620605.04,CT,Montréal,1.58298,4773,1974,1928,505.00,2690.00,55.00,740.00,35.00
4620605.05,CT,Montréal,0.56664,2377,1009,970,315.00,1210.00,20.00,430.00,30.00
4620610.01,CT,Montréal,0.94827,4669,2087,2006,635.00,2495.00,25.00,655.00,20.00
4620610.02,CT,Montréal,0.46124,4608,1891,1838,525.00,2415.00,10.00,755.00,35.00
4620610.03,CT,Montréal,0.78447,5492,2574,2507,550.00,2515.00,15.00,1585.00,100.00
4620610.04,CT,Montréal,0.19283,4207,1865,1765,575.00,2270.00,10.00,350.00,10.00
4620610.05,CT,Montréal,0.37911,4961,2067,1953,780.00,2595.00,0.00,310.00,20.00
4620610.06,CT,Montréal,0.34565,2807,1188,1134,465.00,1465.00,25.00,380.00,10.00
4620610.07,CT,Montréal,0.55125,4479,2364,2285,420.00,1765.00,0.00,1405.00,60.00
4620611.01,CT,Montréal,0.70977,2701,1214,1145,310.00,1470.00,10.00,440.00,10.00
4620611.02,CT,Montréal,0.57316,5381,2322,2217,705.00,2835.00,20.00,790.00,25.00
4620612.00,CT,Montréal,0.75507,4012,1784,1710,580.00,2060.00,0.00,645.00,15.00
4620613.00,CT,Montréal,0.99063,6894,2973,2837,805.00,3700.00,20.00,985.00,10.00
4620614.00,CT,Montréal,0.46073,3581,1745,1673,390.00,1930.00,15.00,635.00,25.00
4620615.00,CT,Montréal,0.56345,5326,2311,2215,630.00,2825.00,20.00,765.00,10.00
4620616.00,CT,Montréal,0.76573,6430,2723,2590,860.00,3380.00,45.00,935.00,25.00
4620617.01,CT,Montréal,0.89203,5319,2242,2167,590.00,2710.00,25.00,1075.00,75.00
4620617.02,CT,Montréal,0.65189,3871,1653,1592,485.00,2120.00,15.00,570.00,35.00
4620618.00,CT,Montréal,0.49923,3322,1654,1584,340.00,1775.00,15.00,600.00,20.00
4620619.00,CT,Montréal,0.54936,5851,3465,3293,455.00,2285.00,10.00,2175.00,80.00
4620625.01,CT,Laval,5.13295,6139,2135,2099,860.00,3400.00,25.00,580.00,20.00
4620625.02,CT,Laval,1.96639,5990,2032,1992,895.00,3410.00,10.00,490.00,10.00
4620626.00,CT,Laval,10.55366,5059,1769,1723,600.00,2745.00,30.00,445.00,20.00
4620627.00,CT,Laval,5.23842,6804,2906,2820,695.00,2995.00,25.00,1425.00,110.00
4620628.01,CT,Laval,1.75842,4428,1955,1902,535.00,2430.00,15.00,780.00,70.00
4620628.02,CT,Laval,0.78358,3785,1652,1581,475.00,1990.00,20.00,545.00,70.00
4620629.00,CT,Laval,1.21189,3332,1312,1287,380.00,1715.00,0.00,730.00,90.00
4620630.01,CT,Laval,1.2192,3641,1314,1300,475.00,1810.00,40.00,760.00,100.00
4620630.02,CT,Laval,2.20569,5027,1924,1893,565.00,2645.00,35.00,980.00,195.00
4620631.00,CT,Laval,24.75609,4441,1365,1335,490.00,2470.00,25.00,230.00,10.00
4620632.01,CT,Laval,1.49425,4970,2019,1990,650.00,2650.00,35.00,895.00,40.00
4620632.02,CT,Laval,1.99364,4655,1852,1813,680.00,2565.00,35.00,680.00,20.00
4620632.03,CT,Laval,4.13624,5171,2131,2109,750.00,2750.00,30.00,855.00,55.00
4620632.04,CT,Laval,1.87466,7355,3012,2958,1040.00,4295.00,35.00,725.00,60.00
4620633.00,CT,Laval,1.61458,5169,2422,2352,505.00,2480.00,25.00,1485.00,190.00
4620634.00,CT,Laval,0.82934,2929,1263,1234,410.00,1580.00,40.00,530.00,60.00
4620635.00,CT,Laval,1.0458,5433,2713,2618,505.00,2520.00,10.00,1655.00,260.00
4620636.00,CT,Laval,2.23097,6518,2894,2781,855.00,3590.00,35.00,900.00,70.00
4620637.01,CT,Laval,1.57427,5056,1905,1855,740.00,2850.00,30.00,670.00,45.00
4620637.02,CT,Laval,1.43305,3919,2023,1974,530.00,2440.00,25.00,355.00,0.00
4620638.01,CT,Laval,0.89728,5299,2576,2521,690.00,3055.00,15.00,860.00,60.00
4620638.02,CT,Laval,0.45734,2046,871,847,270.00,1105.00,10.00,395.00,15.00
4620638.03,CT,Laval,0.67598,3924,1794,1728,520.00,2105.00,10.00,660.00,55.00
4620638.04,CT,Laval,0.82859,6130,3096,2979,930.00,3675.00,50.00,640.00,50.00
4620639.00,CT,Laval,1.35014,3706,1809,1709,400.00,1785.00,15.00,805.00,60.00
4620640.00,CT,Laval,0.80339,3607,1698,1623,395.00,1785.00,20.00,760.00,75.00
4620641.01,CT,Laval,1.34337,6712,3393,3305,905.00,3910.00,30.00,1035.00,85.00
4620641.02,CT,Laval,1.31712,2458,930,913,295.00,1335.00,25.00,400.00,55.00
4620642.00,CT,Laval,9.7037,7014,3036,2961,940.00,3690.00,55.00,1070.00,90.00
4620643.00,CT,Laval,8.30876,9323,4713,4474,920.00,5345.00,35.00,1675.00,95.00
4620644.00,CT,Laval,1.46856,1221,523,504,170.00,645.00,15.00,220.00,15.00
4620645.00,CT,Laval,1.55011,5320,3051,2742,560.00,2250.00,20.00,1655.00,80.00
4620646.01,CT,Laval,0.51811,3454,1483,1440,460.00,1850.00,20.00,385.00,20.00
4620646.02,CT,Laval,0.60712,3658,1619,1520,450.00,2000.00,30.00,625.00,85.00
4620646.03,CT,Laval,0.50826,3243,1751,1657,300.00,1610.00,0.00,920.00,80.00
4620647.01,CT,Laval,0.29594,3006,1974,1894,50.00,1200.00,15.00,1685.00,255.00
4620647.02,CT,Laval,1.61683,6273,2870,2785,685.00,3475.00,35.00,1250.00,95.00
4620648.00,CT,Laval,1.12824,5054,1897,1866,580.00,2650.00,25.00,1045.00,55.00
4620649.01,CT,Laval,1.48922,2712,990,960,410.00,1500.00,15.00,400.00,20.00
4620649.02,CT,Laval,1.30859,5593,1956,1920,790.00,2985.00,55.00,940.00,25.00
4620650.01,CT,Laval,0.75759,4433,1637,1592,520.00,2305.00,25.00,900.00,35.00
4620650.02,CT,Laval,0.72535,4010,1511,1459,490.00,2150.00,10.00,665.00,60.00
4620650.03,CT,Laval,2.66831,6606,2367,2305,800.00,3630.00,60.00,705.00,35.00
4620651.01,CT,Laval,2.15187,5982,2126,2093,905.00,3315.00,60.00,740.00,40.00
4620651.02,CT,Laval,5.15361,5818,1829,1777,785.00,3290.00,50.00,315.00,25.00
4620652.01,CT,Laval,3.027,6790,2445,2393,705.00,3535.00,35.00,945.00,120.00
4620652.04,CT,Laval,1.25508,4244,1506,1491,625.00,2325.00,45.00,470.00,40.00
4620652.05,CT,Laval,2.47717,7933,2593,2527,825.00,4550.00,60.00,395.00,30.00
4620652.06,CT,Laval,2.17467,3846,1391,1368,420.00,2285.00,15.00,200.00,15.00
4620652.07,CT,Laval,9.62977,6734,2393,2344,660.00,3980.00,25.00,460.00,25.00
4620653.00,CT,Laval,0.57733,988,374,368,130.00,525.00,0.00,145.00,20.00
4620654.00,CT,Laval,1.65275,764,285,271,65.00,415.00,15.00,130.00,25.00
4620655.01,CT,Laval,1.45437,4114,1683,1628,465.00,2345.00,10.00,555.00,0.00
4620655.02,CT,Laval,2.48324,6417,2465,2414,825.00,3705.00,15.00,570.00,10.00
4620656.01,CT,Laval,6.1535,5882,2354,2291,715.00,3265.00,20.00,750.00,25.00
4620656.02,CT,Laval,5.7899,8090,2903,2847,905.00,4725.00,20.00,595.00,30.00
4620657.01,CT,Laval,1.88184,3579,1495,1463,435.00,1925.00,20.00,675.00,45.00
4620657.02,CT,Laval,1.50618,5758,2146,2126,760.00,3275.00,20.00,635.00,35.00
4620657.03,CT,Laval,1.77858,4030,1305,1288,600.00,2315.00,0.00,170.00,0.00
4620658.01,CT,Laval,1.26627,4473,1713,1691,635.00,2630.00,10.00,505.00,30.00
4620658.02,CT,Laval,0.8998,3236,1159,1150,510.00,1905.00,30.00,305.00,30.00
4620658.03,CT,Laval,5.46528,7078,2687,2632,870.00,4125.00,45.00,705.00,45.00
4620659.02,CT,Laval,3.55255,7563,2914,2872,960.00,4195.00,40.00,700.00,90.00
4620659.04,CT,Laval,6.04551,3363,1079,1069,300.00,1895.00,15.00,150.00,10.00
4620659.05,CT,Laval,2.3792,7101,2518,2488,1085.00,4145.00,50.00,305.00,45.00
4620659.06,CT,Laval,1.72127,3968,1797,1761,465.00,2055.00,15.00,835.00,25.00
4620659.07,CT,Laval,2.29245,8370,3036,2983,840.00,4980.00,35.00,445.00,50.00
4620660.01,CT,Laval,2.00015,5063,1583,1563,745.00,2845.00,45.00,215.00,45.00
4620660.02,CT,Laval,1.42195,5350,2092,2049,790.00,2850.00,10.00,865.00,45.00
4620660.03,CT,Laval,2.43,7241,2562,2535,935.00,4035.00,20.00,580.00,50.00
4620661.01,CT,Laval,5.64564,7378,2785,2705,1060.00,4250.00,35.00,590.00,30.00
4620661.02,CT,Laval,20.21336,8483,3115,3053,1160.00,4985.00,35.00,695.00,60.00
4620662.00,CT,Laval,28.85206,4450,1670,1626,545.00,2565.00,15.00,485.00,35.00
4620675.00,CT,Repentigny,3.68593,5608,2914,2813,600.00,2865.00,30.00,1545.00,155.00
4620676.01,CT,Repentigny,1.54905,3552,1402,1382,390.00,1800.00,0.00,790.00,90.00
4620676.02,CT,Repentigny,1.32879,2990,1127,1114,315.00,1865.00,10.00,365.00,45.00
4620676.03,CT,Repentigny,1.20354,2357,915,910,230.00,1380.00,10.00,340.00,20.00
4620676.04,CT,Repentigny,1.63288,3330,1164,1145,450.00,1985.00,10.00,285.00,10.00
4620677.01,CT,Repentigny,2.26526,6426,2872,2803,825.00,3390.00,10.00,1345.00,110.00
4620677.02,CT,Repentigny,2.25504,5549,2614,2574,780.00,3160.00,40.00,840.00,10.00
4620677.03,CT,Repentigny,2.76544,7827,2903,2838,1115.00,4560.00,45.00,600.00,70.00
4620677.05,CT,Repentigny,2.03351,5107,1713,1689,915.00,2885.00,30.00,335.00,0.00
4620677.06,CT,Repentigny,2.87057,3072,995,969,360.00,1730.00,10.00,160.00,10.00
4620677.07,CT,Repentigny,1.03874,4296,1622,1603,785.00,2520.00,0.00,210.00,20.00
4620677.08,CT,Repentigny,2.49493,6429,2404,2292,940.00,3735.00,15.00,295.00,15.00
4620681.00,CT,Saint-Sulpice,36.36045,3332,1288,1256,395.00,1945.00,0.00,295.00,10.00
4620682.02,CT,Repentigny,12.27732,2669,1075,1047,360.00,1445.00,25.00,305.00,10.00
4620682.03,CT,Repentigny,21.65386,5898,2332,2256,680.00,3490.00,10.00,320.00,10.00
4620682.04,CT,Repentigny,1.16469,3639,1403,1365,490.00,2075.00,0.00,400.00,10.00
4620682.05,CT,Repentigny,0.77404,3228,1142,1127,555.00,1935.00,15.00,160.00,0.00
4620682.06,CT,Repentigny,1.73983,4260,1483,1466,590.00,2535.00,10.00,130.00,0.00
4620683.00,CT,Charlemagne,2.31137,5594,2614,2526,735.00,3320.00,25.00,785.00,15.00
4620684.03,CT,Terrebonne,17.11133,6049,2078,2023,755.00,3550.00,0.00,250.00,20.00
4620684.04,CT,Terrebonne,13.49643,8024,2848,2771,835.00,4735.00,10.00,435.00,10.00
4620684.05,CT,Terrebonne,3.96325,5403,1859,1831,840.00,3140.00,15.00,315.00,0.00
4620684.06,CT,Terrebonne,7.75314,7587,3039,2885,1010.00,4450.00,25.00,580.00,10.00
4620685.02,CT,Mascouche,56.63087,3925,1504,1461,505.00,2290.00,20.00,375.00,0.00
4620685.03,CT,Mascouche,7.79406,3961,1553,1521,510.00,2275.00,0.00,365.00,0.00
4620685.04,CT,Mascouche,0.84491,3400,1104,1091,565.00,1925.00,0.00,165.00,0.00
4620685.05,CT,Mascouche,2.82982,3916,1435,1416,495.00,2205.00,0.00,365.00,0.00
4620685.06,CT,Mascouche,7.11611,6940,2673,2534,870.00,4110.00,60.00,360.00,20.00
4620686.01,CT,Mascouche,26.0741,4538,1614,1578,530.00,2655.00,0.00,330.00,30.00
4620686.02,CT,Mascouche,3.95912,3638,1293,1257,545.00,2060.00,0.00,320.00,0.00
4620686.03,CT,Mascouche,2.04479,3446,1222,1201,500.00,1965.00,15.00,265.00,10.00
4620687.01,CT,Terrebonne,3.12272,4010,1481,1457,605.00,2375.00,0.00,335.00,45.00
4620687.02,CT,Terrebonne,42.60441,9161,3428,3267,1090.00,5505.00,25.00,485.00,0.00
4620687.03,CT,Terrebonne,15.7333,6051,2237,2186,615.00,3665.00,10.00,405.00,10.00
4620687.04,CT,Terrebonne,1.75937,5255,1896,1873,845.00,2990.00,15.00,425.00,15.00
4620687.06,CT,Terrebonne,2.81243,5388,2090,2061,785.00,3090.00,10.00,330.00,15.00
4620687.07,CT,Terrebonne,1.87563,6000,2081,2060,995.00,3545.00,0.00,350.00,0.00
4620688.02,CT,Sainte-Anne-des-Plaines,89.21236,2822,928,907,335.00,1425.00,10.00,230.00,15.00
4620688.03,CT,Sainte-Anne-des-Plaines,2.06163,4898,1801,1756,730.00,2695.00,10.00,355.00,10.00
4620688.04,CT,Sainte-Anne-des-Plaines,1.74197,5281,1900,1853,710.00,2965.00,10.00,330.00,15.00
4620689.01,CT,Terrebonne,2.83092,4230,1492,1447,545.00,2475.00,0.00,250.00,15.00
4620689.02,CT,Terrebonne,1.57388,3654,1300,1257,460.00,2130.00,10.00,170.00,0.00
4620689.03,CT,Terrebonne,3.8213,6598,2393,2298,865.00,3765.00,0.00,260.00,0.00
4620689.04,CT,Terrebonne,32.14741,4958,1751,1690,695.00,2720.00,20.00,290.00,0.00
4620690.00,CT,Lavaltrie,65.67533,5826,2225,2143,685.00,3430.00,15.00,485.00,25.00
4620691.00,CT,Lavaltrie,2.80984,6294,2330,2289,790.00,3475.00,0.00,565.00,0.00
4620692.00,CT,L'Assomption,64.89779,6841,2507,2453,890.00,3990.00,40.00,490.00,15.00
4620693.00,CT,L'Assomption,2.25104,5311,2344,2292,745.00,2800.00,25.00,875.00,35.00
4620694.00,CT,L'Assomption,35.46704,4586,1675,1637,585.00,2695.00,25.00,285.00,0.00
4620700.01,CT,Terrebonne,1.31595,4847,2387,2306,600.00,2595.00,0.00,860.00,45.00
4620700.03,CT,Terrebonne,1.53538,2909,1269,1248,370.00,1600.00,10.00,560.00,15.00
4620700.04,CT,Terrebonne,1.54976,4579,2230,2160,635.00,2605.00,25.00,655.00,40.00
4620701.00,CT,Bois-des-Filion,4.27618,8383,3365,3241,1070.00,4790.00,20.00,795.00,20.00
4620702.01,CT,Lorraine,2.12721,2656,940,934,355.00,1395.00,25.00,330.00,75.00
4620702.02,CT,Lorraine,3.89469,6957,2310,2277,1020.00,3970.00,95.00,405.00,30.00
4620703.02,CT,Rosemère,4.40682,3839,1502,1459,550.00,2115.00,50.00,585.00,40.00
4620703.03,CT,Rosemère,3.03987,4553,1627,1583,655.00,2445.00,20.00,415.00,80.00
4620703.04,CT,Rosemère,3.24541,5781,1872,1830,870.00,3200.00,65.00,335.00,55.00
4620704.01,CT,Boisbriand,1.81485,4770,2268,2196,715.00,2725.00,10.00,520.00,25.00
4620704.04,CT,Boisbriand,1.77155,4838,1670,1655,770.00,2765.00,10.00,270.00,15.00
4620704.05,CT,Boisbriand,4.9345,6647,2328,2297,950.00,3720.00,20.00,440.00,35.00
4620704.06,CT,Boisbriand,2.39123,1845,711,691,230.00,1020.00,10.00,200.00,0.00
4620704.08,CT,Boisbriand,14.57849,4443,1399,1318,615.00,2175.00,0.00,145.00,0.00
4620704.09,CT,Boisbriand,2.40926,3940,1442,1416,470.00,2270.00,10.00,165.00,0.00
4620705.01,CT,Sainte-Thérèse,1.61016,3604,1246,1234,545.00,2055.00,55.00,330.00,90.00
4620705.02,CT,Sainte-Thérèse,1.95577,5337,2760,2706,530.00,2770.00,20.00,1360.00,155.00
4620706.00,CT,Sainte-Thérèse,1.36219,3275,1938,1762,500.00,1805.00,20.00,575.00,10.00
4620707.00,CT,Sainte-Thérèse,1.85855,4562,2391,2305,605.00,2310.00,10.00,895.00,30.00
4620708.01,CT,Sainte-Thérèse,1.19212,5017,2348,2272,715.00,3010.00,10.00,390.00,30.00
4620708.02,CT,Sainte-Thérèse,1.60823,3429,1519,1464,445.00,1930.00,10.00,520.00,20.00
4620709.01,CT,Blainville,3.72671,5594,2032,1995,705.00,3200.00,10.00,385.00,20.00
4620709.02,CT,Blainville,2.3458,5175,2123,2056,635.00,3040.00,10.00,560.00,30.00
4620710.01,CT,Blainville,34.62472,8380,2745,2705,995.00,4685.00,20.00,440.00,15.00
4620710.02,CT,Blainville,6.9688,11546,3649,3600,1075.00,6520.00,45.00,345.00,20.00
4620710.03,CT,Blainville,3.08341,7027,2571,2501,830.00,4020.00,0.00,460.00,10.00
4620710.04,CT,Blainville,4.65883,8771,3279,3230,1085.00,5050.00,30.00,495.00,15.00
4620725.03,CT,Saint-Eustache,1.56199,3590,1419,1387,485.00,2175.00,15.00,395.00,0.00
4620725.04,CT,Saint-Eustache,2.66794,3355,1318,1285,460.00,1935.00,15.00,400.00,10.00
4620725.06,CT,Saint-Eustache,51.9591,1709,657,636,230.00,1045.00,10.00,165.00,15.00
4620725.07,CT,Saint-Eustache,1.43795,6339,2154,2117,775.00,3695.00,0.00,195.00,30.00
4620725.08,CT,Saint-Eustache,5.36676,5756,2116,2090,670.00,3400.00,35.00,295.00,10.00
4620726.01,CT,Saint-Eustache,1.87305,6483,2816,2733,930.00,3675.00,30.00,875.00,60.00
4620726.03,CT,Saint-Eustache,1.30848,5049,2263,2196,715.00,2885.00,25.00,615.00,50.00
4620726.04,CT,Saint-Eustache,0.78418,2107,703,694,390.00,1210.00,0.00,80.00,0.00
4620727.01,CT,Saint-Eustache,1.11888,3378,1684,1648,405.00,1805.00,35.00,765.00,40.00
4620727.02,CT,Saint-Eustache,1.56225,4296,1991,1906,475.00,2145.00,10.00,790.00,45.00
4620728.01,CT,Deux-Montagnes,1.74978,6553,2518,2473,850.00,3900.00,40.00,325.00,0.00
4620728.02,CT,Deux-Montagnes,1.98132,4332,1663,1636,660.00,2380.00,20.00,405.00,15.00
4620728.03,CT,Deux-Montagnes,0.92362,2702,993,977,310.00,1590.00,15.00,225.00,20.00
4620729.00,CT,Deux-Montagnes,1.50316,3815,1736,1695,445.00,2085.00,45.00,620.00,50.00
4620730.01,CT,Sainte-Marthe-sur-le-Lac,6.36783,4897,1884,1788,530.00,2925.00,15.00,310.00,0.00
4620730.02,CT,Sainte-Marthe-sur-le-Lac,3.15193,6414,2577,2488,780.00,3670.00,10.00,750.00,15.00
4620731.00,CT,Pointe-Calumet,5.06839,6574,2712,2565,830.00,3820.00,15.00,635.00,10.00
4620732.01,CT,Saint-Joseph-du-Lac,41.64298,4958,1794,1750,645.00,2890.00,0.00,350.00,20.00
4620732.02,CT,Oka,69.66997,3300,1367,1311,320.00,1970.00,10.00,425.00,80.00
4620733.00,CT,Mirabel,275.03383,5799,2358,2169,700.00,3275.00,15.00,650.00,50.00
4620734.01,CT,Mirabel,131.50244,7269,2731,2647,735.00,4205.00,10.00,450.00,10.00
4620734.02,CT,Mirabel,61.33754,11179,4179,4014,1140.00,6590.00,15.00,580.00,20.00
4620735.01,CT,Mirabel,52.86758,6078,2413,2343,690.00,3450.00,10.00,495.00,15.00
4620735.02,CT,Mirabel,9.05657,5943,2280,2208,770.00,3410.00,30.00,385.00,25.00
4620740.00,CT,Gore,192.21066,11676,5291,4510,1090.00,7190.00,25.00,770.00,75.00
4620750.01,CT,Notre-Dame-de-l'Île-Perrot,15.3975,4686,1726,1676,495.00,2700.00,0.00,415.00,50.00
4620750.02,CT,Notre-Dame-de-l'Île-Perrot,12.34191,5199,1733,1685,525.00,3005.00,10.00,255.00,15.00
4620750.03,CT,L'Île-Perrot,6.49421,11912,5186,5020,1345.00,7115.00,20.00,1130.00,45.00
4620751.01,CT,Pincourt,3.19839,5803,2401,2282,735.00,3260.00,10.00,705.00,35.00
4620751.02,CT,Pincourt,4.34131,5394,1876,1816,685.00,3100.00,30.00,360.00,20.00
4620755.01,CT,Vaudreuil-Dorion,21.25491,6824,2988,2871,810.00,3960.00,25.00,845.00,20.00
4620755.02,CT,Vaudreuil-Dorion,5.48196,3771,1670,1578,355.00,2315.00,10.00,320.00,45.00
4620756.02,CT,Vaudreuil-Dorion,10.78558,828,305,291,130.00,500.00,0.00,60.00,15.00
4620756.03,CT,Vaudreuil-Dorion,34.52656,6026,2192,2114,620.00,3650.00,25.00,400.00,45.00
4620756.04,CT,Vaudreuil-Dorion,2.80466,5864,2277,2230,615.00,3280.00,30.00,550.00,35.00
4620756.05,CT,Vaudreuil-Dorion,2.27296,4940,2178,2114,595.00,2890.00,35.00,450.00,0.00
4620757.00,CT,Hudson,21.94806,5088,2160,2075,570.00,2685.00,35.00,970.00,250.00
4620758.01,CT,Saint-Lazare,39.39343,8070,2657,2612,860.00,4675.00,25.00,430.00,65.00
4620758.02,CT,Saint-Lazare,27.54507,8946,3108,3067,960.00,5170.00,0.00,500.00,35.00
4620760.00,CT,Les Cèdres,78.22852,5732,2165,2113,600.00,3360.00,10.00,425.00,15.00
4620775.00,CT,Léry,10.53063,2385,1014,972,295.00,1375.00,0.00,360.00,40.00
4620776.00,CT,Beauharnois,8.48027,2808,1205,1183,360.00,1585.00,10.00,470.00,10.00
