GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data",v_CA06_1242: University certificate or degree,"v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data",v_CA06_1270: University certificate or degree
4620224.00,CT,Montréal,0.37597,6396,2560,2425,845.00,3370.00,10.00,910.00,10.00
4620225.00,CT,Montréal,0.64989,1379,686,628,115.00,775.00,20.00,290.00,30.00
4620226.00,CT,Montréal,0.25042,3103,1643,1578,400.00,1980.00,70.00,315.00,10.00
4620227.00,CT,Montréal,0.11694,1504,804,782,220.00,960.00,25.00,150.00,10.00
4620228.00,CT,Montréal,0.11308,1539,792,762,175.00,955.00,25.00,165.00,10.00
4620229.00,CT,Montréal,0.47293,0,0,0,x,x,x,x,x
4620230.00,CT,Montréal,0.11818,1863,998,960,220.00,1210.00,25.00,200.00,10.00
4620231.00,CT,Montréal,0.10435,1677,909,882,190.00,1115.00,70.00,155.00,10.00
4620232.00,CT,Montréal,0.36424,3080,1635,1570,350.00,2035.00,55.00,300.00,30.00
4620233.00,CT,Montréal,0.10737,2049,1090,1055,290.00,1375.00,60.00,115.00,10.00
4620234.00,CT,Montréal,0.15022,2255,1235,1172,350.00,1275.00,55.00,345.00,15.00
4620235.00,CT,Montréal,0.11838,1856,1022,977,310.00,1165.00,80.00,190.00,15.00
4620236.00,CT,Montréal,0.10765,1659,956,919,230.00,1070.00,55.00,215.00,10.00
4620237.00,CT,Montréal,0.22222,3136,1610,1554,480.00,1950.00,95.00,305.00,50.00
4620238.00,CT,Montréal,0.16423,2400,1291,1243,310.00,1500.00,60.00,285.00,15.00
4620239.00,CT,Montréal,0.54659,4574,2628,2479,610.00,2740.00,30.00,660.00,15.00
4620240.00,CT,Montréal,0.30413,2856,1489,1441,330.00,1595.00,15.00,470.00,10.00
4620241.00,CT,Montréal,0.21435,2941,1404,1352,445.00,1625.00,35.00,385.00,0.00
4620242.00,CT,Montréal,0.37218,6373,3143,3024,805.00,3655.00,60.00,930.00,25.00
4620243.00,CT,Montréal,0.25381,4088,1842,1775,550.00,2145.00,25.00,590.00,20.00
4620244.00,CT,Montréal,0.17656,2234,1125,1094,325.00,1315.00,40.00,255.00,0.00
4620245.00,CT,Montréal,0.22007,2684,1546,1474,350.00,1730.00,90.00,295.00,0.00
4620247.00,CT,Montréal,0.19427,2204,1216,1162,220.00,1470.00,45.00,220.00,10.00
4620249.00,CT,Montréal,0.53629,4285,2169,2097,480.00,2450.00,40.00,765.00,55.00
4620250.00,CT,Montréal,0.44743,3808,1913,1829,425.00,2195.00,25.00,655.00,55.00
4620251.01,CT,Montréal,0.46597,3815,1567,1528,425.00,1860.00,10.00,620.00,25.00
4620251.02,CT,Montréal,0.24947,2568,1228,1157,410.00,1440.00,0.00,330.00,10.00
4620252.00,CT,Montréal,0.32806,4948,2322,2200,625.00,2695.00,45.00,725.00,0.00
4620253.00,CT,Montréal,0.45442,2831,1185,1149,370.00,1585.00,10.00,375.00,10.00
4620254.00,CT,Montréal,0.62045,3882,1823,1736,465.00,2255.00,30.00,540.00,20.00
4620256.00,CT,Montréal,1.8574,3823,1502,1431,580.00,1995.00,30.00,420.00,0.00
4620257.00,CT,Montréal,1.33004,4590,1722,1674,625.00,2295.00,0.00,690.00,10.00
4620258.00,CT,Montréal,0.40103,4910,1798,1736,785.00,2495.00,20.00,355.00,15.00
4620259.00,CT,Montréal,0.36575,6202,2466,2360,915.00,3250.00,10.00,565.00,0.00
4620260.00,CT,Montréal,0.54698,2268,887,857,355.00,1255.00,10.00,205.00,0.00
4620261.00,CT,Montréal,0.62697,2872,1126,1094,340.00,1465.00,15.00,430.00,0.00
4620262.00,CT,Montréal,0.74137,4509,1744,1676,640.00,2330.00,10.00,665.00,0.00
4620263.00,CT,Montréal,0.75557,4003,1732,1667,465.00,2040.00,25.00,765.00,0.00
4620264.01,CT,Montréal,1.21501,5573,2572,2509,655.00,2670.00,60.00,1245.00,170.00
4620264.02,CT,Montréal,0.89037,4507,2447,2323,605.00,2805.00,65.00,545.00,90.00
4620265.00,CT,Montréal,0.47882,4379,2328,2207,645.00,2510.00,50.00,640.00,45.00
4620266.00,CT,Montréal,0.76071,3377,1777,1728,440.00,1870.00,50.00,560.00,45.00
4620267.00,CT,Montréal,1.10338,6020,2600,2478,735.00,3195.00,50.00,1045.00,0.00
4620268.01,CT,Montréal,0.57657,6087,3295,3119,480.00,3415.00,40.00,1420.00,175.00
4620268.02,CT,Montréal,0.33308,3770,1766,1508,410.00,2140.00,25.00,430.00,20.00
4620268.03,CT,Montréal,1.29566,0,0,0,x,x,x,x,x
4620269.00,CT,Montréal,0.77417,4059,2023,1913,520.00,2315.00,15.00,460.00,30.00
4620270.00,CT,Montréal,0.67784,4256,2264,2170,515.00,2615.00,30.00,565.00,50.00
4620271.00,CT,Montréal,0.47913,3140,1552,1501,340.00,1780.00,45.00,545.00,55.00
4620272.00,CT,Montréal,0.49943,3573,1880,1825,430.00,2095.00,50.00,535.00,70.00
4620273.00,CT,Montréal,0.57821,4255,2143,2079,435.00,2315.00,40.00,885.00,55.00
4620274.00,CT,Montréal,0.4798,2966,1418,1358,290.00,1545.00,15.00,645.00,10.00
4620275.00,CT,Montréal,0.61621,4061,2119,2018,435.00,2365.00,35.00,675.00,60.00
4620276.00,CT,Montréal,0.88793,4971,2595,2481,510.00,2850.00,20.00,800.00,35.00
4620277.00,CT,Montréal,0.54901,4461,2039,1942,445.00,2160.00,20.00,620.00,120.00
4620278.00,CT,Montréal,0.59083,4303,2192,2120,495.00,2590.00,45.00,585.00,70.00
4620279.00,CT,Montréal,0.93642,4255,2182,2107,445.00,2465.00,20.00,730.00,115.00
4620280.00,CT,Montréal,0.60081,4402,2220,2136,565.00,2580.00,75.00,560.00,80.00
4620281.00,CT,Montréal,1.07953,3572,1703,1636,325.00,1730.00,20.00,725.00,180.00
4620282.00,CT,Montréal,1.31612,6644,2856,2747,645.00,3415.00,55.00,1125.00,110.00
4620283.01,CT,Montréal,0.60641,3648,1412,1363,360.00,1830.00,50.00,965.00,170.00
4620283.02,CT,Montréal,0.47639,2753,1193,1132,285.00,1470.00,25.00,615.00,60.00
4620284.00,CT,Montréal,0.58424,3393,1629,1577,315.00,1820.00,20.00,785.00,125.00
4620285.00,CT,Montréal,1.49815,6734,2421,2341,665.00,3110.00,45.00,1125.00,165.00
4620286.00,CT,Montréal,0.79607,5262,2098,2004,595.00,2750.00,25.00,670.00,95.00
4620287.01,CT,Montréal,0.53789,6214,3023,2858,785.00,3715.00,10.00,430.00,40.00
4620287.02,CT,Montréal,1.11339,4405,1783,1719,540.00,2320.00,85.00,785.00,110.00
4620288.00,CT,Montréal,1.88199,1567,648,638,215.00,710.00,40.00,430.00,70.00
4620290.01,CT,Montréal,1.18711,1906,787,761,250.00,1025.00,10.00,305.00,0.00
4620290.02,CT,Montréal,1.72369,6057,2159,2124,875.00,3435.00,20.00,685.00,15.00
