GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA1996_2: Population, 1996"
4620035.00,CT,Montréal,0.177492939875603,1994,1077,1065,1994
4620036.00,CT,Montréal,0.183982153302371,1718,950,935,1718
4620037.00,CT,Montréal,0.516567943313152,2838,1673,1655,2838
4620038.00,CT,Montréal,0.2061300774014,1865,916,910,1865
4620039.00,CT,Montréal,0.472198915566087,1414,606,600,1414
4620040.00,CT,Montréal,2.250307683148,0,0,0,x
4620041.00,CT,Montréal,0.259910586786211,1618,960,940,1618
4620042.00,CT,Montréal,0.10635753483364,833,526,520,833
4620043.00,CT,Montréal,0.337348646037281,741,369,365,741
4620044.00,CT,Montréal,0.13477621841836,2013,1113,1090,2013
4620045.00,CT,Montréal,0.115734454077631,1507,933,920,1507
4620046.00,CT,Montréal,0.155974771703959,1741,1001,990,1741
4620047.00,CT,Montréal,0.116146427454829,660,332,325,660
4620048.00,CT,Montréal,0.140577969210863,2114,1130,1120,2114
4620049.00,CT,Montréal,0.163249301260114,1308,746,735,1308
4620050.00,CT,Montréal,0.0706267306621075,1287,684,670,1287
4620051.00,CT,Montréal,0.210635719900131,1321,729,700,1321
4620052.00,CT,Montréal,0.138290341621757,1982,1060,1045,1982
4620053.00,CT,Montréal,0.104504442444086,967,466,460,967
4620054.00,CT,Montréal,0.148969927252889,1193,528,495,1193
4620055.01,CT,Montréal,0.698920655971944,2230,1480,1375,2230
4620055.02,CT,Montréal,1.32552636294842,442,249,230,442
4620056.00,CT,Montréal,0.284448366095722,1156,515,480,1156
4620057.00,CT,Montréal,0.145186782241166,758,177,175,758
4620058.00,CT,Montréal,0.150139224291444,867,527,495,867
4620059.00,CT,Montréal,0.198264937648296,1155,695,650,1155
4620060.00,CT,Montréal,0.0935832947457433,1673,761,755,1673
4620061.00,CT,Montréal,0.213277068871617,457,283,265,457
4620062.00,CT,Montréal,0.818478826795101,294,140,120,294
4620063.00,CT,Montréal,0.354298318497658,415,215,205,415
4620064.00,CT,Montréal,0.240380896796525,1102,539,495,1102
4620065.01,CT,Montréal,0.135053155085742,5849,3995,3730,5849
4620065.02,CT,Montréal,0.143989665392399,2716,1741,1645,2716
4620066.01,CT,Montréal,0.195849320484445,2738,1627,1480,2738
4620066.02,CT,Montréal,0.151755569982052,2003,1356,1315,2003
4620067.00,CT,Montréal,0.177741912586212,1837,848,845,1837
4620068.00,CT,Montréal,0.184218381646127,1959,677,680,1959
4620069.00,CT,Montréal,0.69897969168222,1780,942,910,1780
4620070.00,CT,Montréal,0.606279621534586,261,164,155,261
4620071.00,CT,Montréal,0.408327656950474,0,0,0,x
4620072.00,CT,Montréal,2.54201934012449,3622,1671,1665,3622
4620073.00,CT,Montréal,0.312215003305197,1030,501,490,1030
4620074.00,CT,Montréal,0.405372114751339,3653,1609,1600,3653
4620075.00,CT,Montréal,0.316569243147254,2587,1197,1190,2587
4620076.00,CT,Montréal,0.352702368203878,2203,1001,995,2203
4620077.00,CT,Montréal,0.419876353664637,2282,983,975,2282
4620078.00,CT,Montréal,0.387783251746178,3076,1591,1560,3076
4620079.00,CT,Montréal,0.610172436675519,4037,1784,1775,4037
4620080.00,CT,Montréal,0.0862308626600504,821,420,410,821
4620081.00,CT,Montréal,0.259764508722365,2339,1184,1175,2339
4620082.00,CT,Montréal,0.318088250000715,2031,903,900,2031
4620083.00,CT,Montréal,0.4252976975739,3107,1445,1435,3107
4620084.00,CT,Montréal,0.366955185647249,1653,727,720,1653
4620085.00,CT,Montréal,1.17920761924791,684,293,295,684
4620086.00,CT,Montréal,0.493363717717469,4000,1979,1970,4000
4620087.00,CT,Montréal,0.262805662654161,2997,1288,1285,2997
4620088.00,CT,Montréal,0.336420448396921,3717,1790,1790,3717
4620089.00,CT,Montréal,0.478846144271493,4913,2322,2320,4913
4620090.00,CT,Montréal,0.430309733220458,4361,2104,2090,4361
4620091.00,CT,Montréal,0.992320927332401,0,0,0,x
4620092.00,CT,Montréal,0.571303569491386,6398,2712,2705,6398
4620093.00,CT,Montréal,0.739935753581524,3127,1394,1390,3127
4620094.01,CT,Montréal,1.75179177959979,5487,2613,2585,5487
4620094.02,CT,Montréal,1.89216311835358,0,0,0,x
4620095.00,CT,Montréal,0.220156058157593,1862,1068,1045,1862
4620096.00,CT,Montréal,0.194412605024368,2204,994,980,2204
4620097.01,CT,Montréal,0.361535922790065,5743,3086,3060,5743
4620097.02,CT,Montréal,0.40366668035619,3149,1854,1815,3149
4620098.00,CT,Montréal,1.01962676357049,5431,2162,2155,5431
4620099.00,CT,Montréal,0.671372237789392,4280,2123,2095,4280
4620100.00,CT,Montréal,0.818570815864146,6977,3209,3190,6977
4620101.01,CT,Montréal,0.358123040597439,4168,1857,1850,4168
4620101.02,CT,Montréal,0.355816413101494,3723,1523,1515,3723
4620102.00,CT,Montréal,0.580458358488798,4131,1991,1975,4131
4620103.00,CT,Montréal,0.336842415596366,2359,998,990,2359
4620104.00,CT,Montréal,0.384099918077528,2814,1106,1095,2814
4620105.00,CT,Montréal,0.295441812003851,3381,1578,1560,3381
4620106.00,CT,Montréal,0.225153798438072,1916,879,870,1916
4620107.00,CT,Montréal,0.162546567330644,1404,729,715,1404
4620108.00,CT,Montréal,0.5510677968961,3952,1614,1600,3952
4620109.00,CT,Montréal,0.18047504370302,1983,993,985,1983
4620110.00,CT,Montréal,0.233994742555961,3558,1936,1920,3558
4620111.00,CT,Montréal,0.738642523047388,6419,2785,2770,6419
4620112.01,CT,Montréal,0.498935325160742,5039,1746,1745,5039
4620112.02,CT,Montréal,0.279401921683192,4165,1970,1965,4165
4620113.00,CT,Montréal,0.509975520045429,5114,2137,2115,5114
4620114.00,CT,Montréal,0.274747647948265,2034,902,885,2034
4620115.01,CT,Montréal,0.211688312071085,2036,886,865,2036
4620115.02,CT,Montréal,0.413999311341822,5696,3630,3515,5696
4620116.00,CT,Montréal,0.644812526592433,6903,2987,2935,6903
4620117.00,CT,Montréal,0.276069781057239,4632,1457,1450,4632
4620118.00,CT,Montréal,0.301250505224228,4357,1509,1500,4357
4620119.00,CT,Montréal,0.418728248692751,6183,2267,2265,6183
4620120.00,CT,Montréal,3.07931636273926,3685,1636,1625,3685
4620121.00,CT,Montréal,0.395864897950888,1389,572,570,1389
4620122.00,CT,Montréal,0.663782900927901,6936,2881,2845,6936
4620123.00,CT,Montréal,0.409754568500966,6442,3203,3100,6442
4620124.00,CT,Montréal,0.37782869508183,5552,2545,2495,5552
4620125.00,CT,Montréal,0.45885123535192,6334,2724,2670,6334
4620126.00,CT,Montréal,0.775996554021835,2167,1033,890,2167
4620127.01,CT,Montréal,0.48910970280239,5325,3414,3195,5325
4620127.02,CT,Montréal,1.25333777532434,31,19,0,x
4620128.00,CT,Montréal,3.01668794008872,3578,1876,1770,3578
4620129.01,CT,Montréal,0.278416912243247,3874,2587,2325,3874
4620129.02,CT,Montréal,0.356441627164602,4086,2785,2510,4086
4620130.00,CT,Montréal,0.152232364252746,3348,2551,2165,3348
4620131.00,CT,Montréal,0.102289026767552,3198,2434,2135,3198
4620132.00,CT,Montréal,0.266498854123682,4933,3355,3135,4933
4620133.00,CT,Montréal,0.144677642939985,2483,1475,1400,2483
4620134.00,CT,Montréal,0.0833692586202621,824,499,485,824
4620135.00,CT,Montréal,0.117088525965929,1735,932,910,1735
4620136.00,CT,Montréal,0.179698501177549,2710,1377,1350,2710
4620137.00,CT,Montréal,0.186323091760635,1293,642,615,1293
4620138.00,CT,Montréal,0.292413986345947,1966,1001,970,1966
4620139.00,CT,Montréal,0.227462310594559,2740,1449,1420,2740
4620140.00,CT,Montréal,0.127528550820112,1453,760,755,1453
4620141.00,CT,Montréal,0.115413430486202,1553,836,820,1553
4620142.00,CT,Montréal,0.106245289783955,1563,911,900,1563
4620143.00,CT,Montréal,0.171505865762234,2355,1511,1485,2355
4620144.00,CT,Montréal,0.179985177348137,3312,2045,1980,3312
4620145.00,CT,Montréal,0.44296694021225,0,0,0,x
4620146.00,CT,Montréal,0.145773961802483,2356,1470,1450,2356
4620147.00,CT,Montréal,0.165800210403442,2623,1537,1525,2623
4620148.00,CT,Montréal,0.143642334650487,1246,456,455,1246
4620149.00,CT,Montréal,0.139064757073879,3264,1891,1865,3264
4620150.00,CT,Montréal,0.164949517510951,2320,1266,1255,2320
4620151.00,CT,Montréal,0.117115040198088,2129,1098,1095,2129
4620152.00,CT,Montréal,0.135771508312464,1550,844,840,1550
4620153.00,CT,Montréal,0.273119220123291,819,450,445,819
4620154.00,CT,Montréal,0.131588970396996,583,349,345,583
4620155.00,CT,Montréal,0.106931691399693,1910,1050,1045,1910
4620156.00,CT,Montréal,0.138413165759802,2034,1109,1105,2034
4620157.00,CT,Montréal,0.161962738350391,2045,1097,1090,2045
4620158.00,CT,Montréal,0.144314356456757,1977,1261,1240,1977
4620159.00,CT,Montréal,0.125742110041916,1861,1016,1010,1861
4620160.00,CT,Montréal,0.120758938647747,1613,991,970,1613
4620161.00,CT,Montréal,0.139428926946878,1706,856,855,1706
4620162.00,CT,Montréal,0.0945023336325884,1458,822,810,1458
4620163.00,CT,Montréal,0.204852809429169,3287,1443,1420,3287
4620164.00,CT,Montréal,0.0668577529910803,1548,965,940,1548
4620165.00,CT,Montréal,0.163922072988749,2279,1101,1075,2279
4620166.00,CT,Montréal,0.238714581001878,379,165,165,379
4620167.00,CT,Montréal,0.201583163191318,2511,1170,1160,2511
4620168.00,CT,Montréal,0.171485763635814,2547,993,985,2547
4620169.00,CT,Montréal,0.146077085088968,2371,1019,1010,2371
4620170.00,CT,Montréal,0.154695995113671,2395,1035,1025,2395
4620171.00,CT,Montréal,0.479672430398345,3875,2019,1985,3875
4620172.00,CT,Montréal,0.194956340799361,1739,1235,1185,1739
4620173.00,CT,Montréal,0.179312162094951,1620,968,950,1620
4620174.00,CT,Montréal,0.233160765410185,1588,910,905,1588
4620175.00,CT,Montréal,0.109103164538383,1609,885,880,1609
4620176.00,CT,Montréal,0.1221287783674,1584,904,900,1584
4620177.00,CT,Montréal,0.096740894656539,1224,696,690,1224
4620178.00,CT,Montréal,0.279383636566341,2438,1369,1345,2438
4620179.00,CT,Montréal,0.504921349275112,3730,2037,2025,3730
4620180.00,CT,Montréal,0.264338123749971,3551,1769,1765,3551
4620181.00,CT,Montréal,0.321601632593274,3814,1860,1855,3814
4620182.00,CT,Montréal,0.138445817242146,2218,1105,1100,2218
4620183.00,CT,Montréal,0.132706546858549,2264,1161,1155,2264
4620184.00,CT,Montréal,0.218297596806362,3024,1476,1470,3024
4620185.00,CT,Montréal,0.390676267185926,5171,2724,2710,5171
4620186.00,CT,Montréal,0.381077082810342,4490,2240,2230,4490
4620187.01,CT,Montréal,0.356573868487358,2444,1216,1205,2444
4620187.02,CT,Montréal,1.13582335028535,6678,3405,3395,6678
4620188.01,CT,Montréal,0.146171203832388,1918,1021,1020,1918
4620188.02,CT,Montréal,0.223758518082857,2184,1219,1205,2184
4620189.00,CT,Montréal,1.54236980366099,0,0,0,x
4620190.01,CT,Montréal,0.455022476946592,3529,1788,1780,3529
4620190.02,CT,Montréal,1.03913121705088,3546,1848,1835,3546
4620191.00,CT,Montréal,1.67203890495129,6239,2955,2920,6239
4620192.00,CT,Montréal,0.780506238813043,2684,880,880,2684
4620193.00,CT,Montréal,0.271986182768241,2005,894,895,2005
4620194.00,CT,Montréal,1.16602968304861,5332,2146,2140,5332
4620195.01,CT,Montréal,0.577672149158359,3750,1649,1640,3750
4620195.02,CT,Montréal,0.60532654706502,5408,2373,2360,5408
4620195.03,CT,Montréal,0.91094082034874,5251,2270,2255,5251
4620196.00,CT,Montréal,0.396430071634531,3818,2053,2045,3818
4620197.00,CT,Montréal,0.625444945632935,4576,2311,2305,4576
4620198.00,CT,Montréal,0.67216073588109,4715,2450,2440,4715
4620199.00,CT,Montréal,0.224401796275467,2274,1210,1200,2274
4620200.00,CT,Montréal,0.31945413523984,3984,2023,2020,3984
4620201.00,CT,Montréal,0.92227026547569,6043,3110,3095,6043
4620202.00,CT,Montréal,0.613643250766993,4160,2270,2245,4160
4620203.00,CT,Montréal,0.23616682048583,2770,1493,1485,2770
4620204.00,CT,Montréal,0.235479371785879,2712,1443,1435,2712
4620205.00,CT,Montréal,0.175704477881432,2145,1166,1155,2145
4620206.00,CT,Montréal,0.230789589156866,2752,1417,1410,2752
4620207.00,CT,Montréal,0.256447383913279,3469,1721,1710,3469
4620208.00,CT,Montréal,0.203281122805119,2556,1274,1270,2556
4620209.00,CT,Montréal,0.668729315569162,5894,2822,2800,5894
4620210.00,CT,Montréal,0.344912620158911,3217,1802,1770,3217
4620211.00,CT,Montréal,0.179370174564123,2348,1219,1205,2348
4620212.00,CT,Montréal,0.194005281973839,2456,1276,1270,2456
4620213.00,CT,Montréal,0.19540987597847,2633,1320,1315,2633
4620214.00,CT,Montréal,0.24969612340489,2619,1311,1295,2619
4620215.00,CT,Montréal,0.23218101025939,2218,1142,1125,2218
4620216.00,CT,Montréal,0.321068405861616,2286,1145,1135,2286
4620217.00,CT,Montréal,0.157338718023598,2777,1307,1305,2777
4620218.00,CT,Montréal,0.276631112968087,3219,1512,1490,3219
4620219.00,CT,Montréal,0.302046089610219,2294,960,955,2294
4620220.00,CT,Montréal,0.396217546152592,5842,2310,2305,5842
4620221.00,CT,Montréal,0.320811865674049,6593,2611,2605,6593
4620222.00,CT,Montréal,0.200058078184009,3954,1475,1470,3954
4620223.01,CT,Montréal,0.147468610260367,4008,1446,1445,4008
4620223.02,CT,Montréal,0.199336426041126,3440,1235,1230,3440
4620224.00,CT,Montréal,0.370219942091465,6033,2256,2255,6033
4620225.00,CT,Montréal,0.661333148151696,1408,639,635,1408
4620226.00,CT,Montréal,0.251070145463705,3188,1549,1535,3188
4620227.00,CT,Montréal,0.118079789970875,1591,779,775,1591
4620228.00,CT,Montréal,0.114997091740131,1656,776,775,1656
4620229.00,CT,Montréal,0.479547134163857,0,0,0,x
4620230.00,CT,Montréal,0.113318871799827,1988,958,955,1988
4620231.00,CT,Montréal,0.10528503519845,1862,847,830,1862
4620232.00,CT,Montréal,0.372827933798552,2768,1282,1270,2768
4620233.00,CT,Montréal,0.109870756498933,2024,980,965,2024
4620234.00,CT,Montréal,0.147744983244181,2358,1159,1150,2358
4620235.00,CT,Montréal,0.116384839806318,1924,973,965,1924
4620236.00,CT,Montréal,0.110691498176157,1712,898,895,1712
4620237.00,CT,Montréal,0.226597161786437,3289,1558,1545,3289
4620238.00,CT,Montréal,0.16582126320672,2338,1225,1215,2338
4620239.00,CT,Montréal,0.551229982364893,4482,2423,2400,4482
4620240.00,CT,Montréal,0.295702020187825,2962,1374,1370,2962
4620241.00,CT,Montréal,0.208065698591352,2910,1303,1300,2910
4620242.00,CT,Montréal,0.37027475667882,6410,2944,2935,6410
4620243.00,CT,Montréal,0.252027496123314,4116,1747,1735,4116
4620244.00,CT,Montréal,0.177588548088551,2213,1059,1050,2213
4620245.00,CT,Montréal,0.215827912519693,2667,1405,1390,2667
4620247.00,CT,Montréal,0.196774813709497,2321,1157,1145,2321
4620249.00,CT,Montréal,0.528332594452858,4347,2074,2065,4347
4620250.00,CT,Montréal,0.448509078077853,3855,1773,1770,3855
4620251.01,CT,Montréal,0.459324114047289,3404,1475,1470,3404
4620251.02,CT,Montréal,0.250569075421631,2610,1131,1130,2610
4620252.00,CT,Montréal,0.32956085303092,4853,2152,2150,4853
4620253.00,CT,Montréal,0.458777684243679,2802,1100,1095,2802
4620254.00,CT,Montréal,0.682954266679943,3609,1611,1605,3609
4620256.00,CT,Montréal,1.85974599678957,3715,1336,1335,3715
4620257.00,CT,Montréal,1.33717448326898,4562,1610,1610,4562
4620258.00,CT,Montréal,0.405111502635002,4597,1610,1610,4597
4620259.00,CT,Montréal,0.35869678400749,5797,2147,2145,5797
4620260.00,CT,Montréal,0.530428423488617,2255,815,815,2255
4620261.00,CT,Montréal,0.621945840236068,2726,1022,1020,2726
4620262.00,CT,Montréal,0.740958499219418,4748,1592,1595,4748
4620263.00,CT,Montréal,0.752581206929326,4047,1593,1590,4047
4620264.01,CT,Montréal,1.19900969840236,5577,2464,2415,5577
4620264.02,CT,Montréal,0.882783339998484,4522,2216,2180,4522
4620265.00,CT,Montréal,0.4862253720963,4421,2192,2100,4421
4620266.00,CT,Montréal,0.77073939357537,3190,1587,1570,3190
4620267.00,CT,Montréal,1.12868598604104,6177,2424,2415,6177
4620268.01,CT,Montréal,0.571951299706459,5519,2803,2785,5519
4620268.02,CT,Montréal,0.347880587828875,3772,1523,1520,3772
4620268.03,CT,Montréal,1.31236672027832,0,0,0,x
4620269.00,CT,Montréal,0.784301980850577,3974,1907,1895,3974
4620270.00,CT,Montréal,0.68843459464325,4073,2093,2065,4073
4620271.00,CT,Montréal,0.488970687809899,3095,1455,1450,3095
4620272.00,CT,Montréal,0.487240392826796,3601,1799,1785,3601
4620273.00,CT,Montréal,0.576070901223421,4395,2021,2015,4395
4620274.00,CT,Montréal,0.484975547013283,3039,1346,1345,3039
4620275.00,CT,Montréal,0.61474957160008,4008,1957,1950,4008
4620276.00,CT,Montréal,0.837948423409134,4776,2392,2375,4776
4620277.00,CT,Montréal,0.533391322396517,4107,1865,1850,4107
4620278.00,CT,Montréal,0.589208862763405,4257,2113,2095,4257
4620279.00,CT,Montréal,0.938618074203134,4130,1989,1980,4130
4620280.00,CT,Montréal,0.607203736150265,4267,2100,2090,4267
4620281.00,CT,Montréal,1.07248976186627,3616,1531,1525,3616
4620282.00,CT,Montréal,1.32266369951218,6148,2519,2505,6148
4620283.01,CT,Montréal,0.61197765934515,3832,1370,1365,3832
4620283.02,CT,Montréal,0.462576376961768,3047,1197,1195,3047
4620284.00,CT,Montréal,0.581777503265858,3370,1519,1510,3370
4620285.00,CT,Montréal,1.50496975123185,6737,2277,2265,6737
4620286.00,CT,Montréal,0.804124913006783,4808,1930,1925,4808
4620287.01,CT,Montréal,0.534883573700666,5384,2583,2565,5384
4620287.02,CT,Montréal,1.05197016595274,4247,1563,1555,4247
4620288.00,CT,Montréal,1.85887607417346,1372,566,565,1372
4620290.01,CT,Montréal,1.19205281431842,1998,737,735,1998
4620290.02,CT,Montréal,1.71387176978374,5927,1922,1920,5927
4620290.03,CT,Montréal,0.636292107839227,3990,1474,1470,3990
4620290.04,CT,Montréal,2.82730334756088,6138,2026,2025,6138
4620290.05,CT,Montréal,2.22746406657612,5331,1994,1990,5331
4620290.06,CT,Montréal,0.965324151491702,6232,1887,1885,6232
4620290.07,CT,Montréal,0.567927473604321,2942,1016,1015,2942
4620290.08,CT,Montréal,1.09610061768526,4260,1384,1385,4260
4620290.09,CT,Montréal,1.14389416341972,5365,1709,1705,5365
4620291.00,CT,Montréal,10.9733136139534,8669,2636,2630,8669
4620300.00,CT,Verdun,0.507866567334466,2190,1108,1105,2190
4620301.00,CT,Verdun,0.428104333141744,4689,2328,2325,4689
4620302.00,CT,Verdun,0.201752597672582,2812,1387,1385,2812
4620303.00,CT,Verdun,0.258390389171317,2052,1039,1035,2052
4620304.00,CT,Verdun,0.280582434740141,2578,1400,1395,2578
4620305.00,CT,Verdun,0.350833707936645,3365,1745,1740,3365
4620306.00,CT,Verdun,0.223334860283613,3037,1456,1450,3037
4620307.00,CT,Verdun,0.175130748522758,3263,1497,1490,3263
4620308.00,CT,Verdun,0.178896622633457,2773,1293,1285,2773
4620309.00,CT,Verdun,0.191417393148333,1254,588,585,1254
4620310.00,CT,Verdun,0.45703208581388,3567,1639,1635,3567
4620311.00,CT,Verdun,0.348399508601666,4091,1966,1960,4091
4620312.00,CT,Verdun,0.293369090765476,3316,1607,1605,3316
4620313.00,CT,Verdun,0.359682903577983,3363,1509,1500,3363
4620314.00,CT,Verdun,0.259966912288547,2687,1209,1205,2687
4620315.00,CT,Verdun,0.816580545731544,425,3,0,425
4620316.00,CT,Verdun,0.606028420499753,2066,819,820,2066
4620317.01,CT,Verdun,2.43579023782758,6465,3494,3410,6465
4620317.02,CT,Verdun,1.18376664613764,5721,2977,2880,5721
4620320.00,CT,LaSalle,0.678128361858725,4658,2136,2130,4658
4620321.00,CT,LaSalle,0.943088759429157,2889,1346,1345,2889
4620322.01,CT,LaSalle,1.19870486056767,7778,3791,3785,7778
4620322.02,CT,LaSalle,0.772556311733253,3816,1623,1620,3816
4620323.00,CT,LaSalle,0.564950020044327,3210,1331,1325,3210
4620324.01,CT,LaSalle,0.687825721307278,4288,1783,1775,4288
4620324.02,CT,LaSalle,0.651625630245924,2728,1044,1040,2728
4620325.01,CT,LaSalle,0.390070285583735,4009,1451,1450,4009
4620325.02,CT,LaSalle,0.99319974475944,5910,2437,2430,5910
4620325.03,CT,LaSalle,0.480448220082283,3759,1449,1445,3759
4620325.04,CT,LaSalle,1.77649907556531,7287,3012,2980,7287
4620326.01,CT,LaSalle,2.48884310944509,3006,1155,1145,3006
4620326.02,CT,LaSalle,1.08343660767918,3604,1596,1590,3604
4620326.03,CT,LaSalle,1.30577045252419,4805,1840,1835,4805
4620327.00,CT,LaSalle,1.1250335035131,4783,2054,2045,4783
4620328.00,CT,LaSalle,0.474468086218834,1967,789,790,1967
4620329.00,CT,LaSalle,0.708992194024917,3532,1613,1600,3532
4620330.00,CT,Saint-Pierre,1.97681631016362,4739,2034,2025,4739
4620340.00,CT,Montréal-Ouest,1.49273841573089,5254,1839,1830,5254
4620350.00,CT,Westmount,0.547589291355968,2439,1238,1215,2439
4620351.00,CT,Westmount,0.466422580114484,5159,2937,2790,5159
4620352.00,CT,Westmount,0.474720311685801,2844,1277,1245,2844
4620353.00,CT,Westmount,0.417876587237716,3003,1209,1185,3003
4620354.00,CT,Westmount,0.825036301862866,3310,1023,1005,3310
4620355.00,CT,Westmount,0.311167006898642,1471,618,600,1471
4620356.00,CT,Westmount,0.979053538538098,2194,698,685,2194
4620360.00,CT,Outremont,1.45293646322745,2307,607,590,2307
4620361.00,CT,Outremont,0.126409491019785,1481,810,760,1481
4620362.00,CT,Outremont,0.554683433218956,2593,895,880,2593
4620363.00,CT,Outremont,0.364818043820053,4751,1960,1930,4751
4620364.00,CT,Outremont,0.223555643155992,2497,965,955,2497
4620365.00,CT,Outremont,0.24346756703347,2549,1126,1110,2549
4620366.00,CT,Outremont,0.333651413181245,2562,1055,1040,2562
4620367.00,CT,Outremont,0.559116110085964,3831,1834,1825,3831
4620370.00,CT,Hampstead,1.80154808651495,6986,2536,2525,6986
4620380.00,CT,Côte-Saint-Luc,0.792465665476903,4117,1809,1810,4117
4620381.00,CT,Côte-Saint-Luc,0.588669339923382,5335,2698,2690,5335
4620382.01,CT,Côte-Saint-Luc,0.572235183480382,3709,1622,1615,3709
4620382.02,CT,Côte-Saint-Luc,1.57700592108613,4392,1520,1515,4392
4620383.01,CT,Côte-Saint-Luc,1.60985196414208,3528,1069,1065,3528
4620383.02,CT,Côte-Saint-Luc,1.49195155649924,6820,3296,3285,6820
4620385.00,CT,Côte-Saint-Luc,0.0377588823711872,1464,969,965,1464
4620390.00,CT,Lachine,1.06170267997572,1353,600,600,1353
4620391.00,CT,Lachine,0.276815361192077,1856,815,805,1856
4620392.00,CT,Lachine,0.403412019009467,1336,587,595,1336
4620393.00,CT,Lachine,1.05181848517087,5124,2220,2215,5124
4620394.00,CT,Lachine,1.34609895746408,3667,1638,1635,3667
4620395.01,CT,Lachine,7.58942909223592,2544,1086,1085,2544
4620395.02,CT,Lachine,0.67368094552476,5774,2474,2465,5774
4620395.03,CT,Lachine,0.594156382492065,4160,2075,2060,4160
4620396.00,CT,Lachine,1.47992596903008,5522,2442,2435,5522
4620397.00,CT,Lachine,1.18648843001056,3835,1410,1410,3835
4620400.00,CT,Mont-Royal,1.37734020633613,4251,1600,1585,4251
4620401.00,CT,Mont-Royal,0.962809485287547,2993,1269,1255,2993
4620402.00,CT,Mont-Royal,2.54138517725456,1141,464,460,1141
4620403.00,CT,Mont-Royal,1.36298351362823,4964,1833,1815,4964
4620404.00,CT,Mont-Royal,1.51513409616236,4933,1733,1725,4933
4620410.01,CT,Saint-Laurent,0.846585895279437,5034,2033,2020,5034
4620410.02,CT,Saint-Laurent,0.790403990023851,4838,2376,2350,4838
4620410.03,CT,Saint-Laurent,2.15816195372832,1701,554,555,1701
4620412.00,CT,Saint-Laurent,1.49366396434307,5140,1881,1875,5140
4620413.00,CT,Saint-Laurent,1.63981881605196,7106,2494,2490,7106
4620415.01,CT,Saint-Laurent,28.7448291272378,1165,464,455,1165
4620415.02,CT,Saint-Laurent,0.746729559266329,8739,3897,3880,8739
4620416.00,CT,Saint-Laurent,1.90100280548143,7635,2514,2510,7635
4620417.01,CT,Saint-Laurent,0.63931792261076,3849,1415,1410,3849
4620417.02,CT,Saint-Laurent,0.377555563120693,2547,753,755,2547
4620418.00,CT,Saint-Laurent,1.2829826617015,5192,2191,2160,5192
4620419.00,CT,Saint-Laurent,0.375604461437047,4542,1679,1675,4542
4620420.00,CT,Saint-Laurent,0.801722037483335,4485,1650,1645,4485
4620421.00,CT,Saint-Laurent,0.839035426233411,12267,5463,5440,12267
4620430.00,CT,Dorval,2.01904666161437,5325,2593,2545,5325
4620431.00,CT,Dorval,2.21247598552775,5445,2362,2290,5445
4620432.00,CT,Dorval,1.31862176762843,3245,1218,1210,3245
4620433.00,CT,Dorval,15.5697957404123,3557,1361,1360,3557
