GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620065.02,CT,Montréal,0.143989665392399,2716,1741,1645,135852,674,2525,845
4620066.01,CT,Montréal,0.195849320484445,2738,1627,1480,122274,557,2570,960
4620066.02,CT,Montréal,0.151755569982052,2003,1356,1315,146381,501,1860,510
4620067.00,CT,Montréal,0.177741912586212,1837,848,845,122391,453,1500,445
4620068.00,CT,Montréal,0.184218381646127,1959,677,680,181790,353,1380,95
4620069.00,CT,Montréal,0.69897969168222,1780,942,910,132331,815,1615,675
4620070.00,CT,Montréal,0.606279621534586,261,164,155,0,525,255,55
4620071.00,CT,Montréal,0.408327656950474,0,0,0,x,x,x,x
4620072.00,CT,Montréal,2.54201934012449,3622,1671,1665,88771,458,2815,205
4620073.00,CT,Montréal,0.312215003305197,1030,501,490,115899,465,860,140
4620074.00,CT,Montréal,0.405372114751339,3653,1609,1600,95651,496,2875,270
4620075.00,CT,Montréal,0.316569243147254,2587,1197,1190,76746,444,2095,225
4620076.00,CT,Montréal,0.352702368203878,2203,1001,995,86885,470,1690,195
4620077.00,CT,Montréal,0.419876353664637,2282,983,975,113037,399,1650,485
4620078.00,CT,Montréal,0.387783251746178,3076,1591,1560,120974,503,2585,815
4620079.00,CT,Montréal,0.610172436675519,4037,1784,1775,98985,447,3320,290
4620080.00,CT,Montréal,0.0862308626600504,821,420,410,123306,631,720,215
4620081.00,CT,Montréal,0.259764508722365,2339,1184,1175,95911,500,1980,365
4620082.00,CT,Montréal,0.318088250000715,2031,903,900,90793,450,1615,105
4620083.00,CT,Montréal,0.4252976975739,3107,1445,1435,98770,462,2590,205
4620084.00,CT,Montréal,0.366955185647249,1653,727,720,78153,463,1150,95
4620085.00,CT,Montréal,1.17920761924791,684,293,295,98073,496,550,85
4620086.00,CT,Montréal,0.493363717717469,4000,1979,1970,116938,490,3460,365
4620087.00,CT,Montréal,0.262805662654161,2997,1288,1285,99570,466,2390,110
4620088.00,CT,Montréal,0.336420448396921,3717,1790,1790,129126,499,3100,125
4620089.00,CT,Montréal,0.478846144271493,4913,2322,2320,120837,522,4185,360
4620090.00,CT,Montréal,0.430309733220458,4361,2104,2090,122081,515,3710,360
4620091.00,CT,Montréal,0.992320927332401,0,0,0,x,x,x,x
4620092.00,CT,Montréal,0.571303569491386,6398,2712,2705,130832,499,5140,410
4620093.00,CT,Montréal,0.739935753581524,3127,1394,1390,135502,491,2520,125
4620094.01,CT,Montréal,1.75179177959979,5487,2613,2585,128066,502,4465,600
4620094.02,CT,Montréal,1.89216311835358,0,0,0,x,x,x,x
4620095.00,CT,Montréal,0.220156058157593,1862,1068,1045,200704,549,1650,560
4620096.00,CT,Montréal,0.194412605024368,2204,994,980,122532,624,1855,520
4620097.01,CT,Montréal,0.361535922790065,5743,3086,3060,134867,521,4875,1245
4620097.02,CT,Montréal,0.40366668035619,3149,1854,1815,162147,535,2775,625
4620098.00,CT,Montréal,1.01962676357049,5431,2162,2155,158202,531,4330,1225
4620099.00,CT,Montréal,0.671372237789392,4280,2123,2095,173062,473,3610,1140
4620100.00,CT,Montréal,0.818570815864146,6977,3209,3190,165679,531,5755,1445
4620101.01,CT,Montréal,0.358123040597439,4168,1857,1850,143597,544,3420,625
4620101.02,CT,Montréal,0.355816413101494,3723,1523,1515,156722,515,2850,520
4620102.00,CT,Montréal,0.580458358488798,4131,1991,1975,172535,632,3420,1360
4620103.00,CT,Montréal,0.336842415596366,2359,998,990,202034,561,1885,945
4620104.00,CT,Montréal,0.384099918077528,2814,1106,1095,215381,569,2235,1180
4620105.00,CT,Montréal,0.295441812003851,3381,1578,1560,170093,754,2795,1315
4620106.00,CT,Montréal,0.225153798438072,1916,879,870,168194,691,1550,655
4620107.00,CT,Montréal,0.162546567330644,1404,729,715,125512,591,1255,360
4620108.00,CT,Montréal,0.5510677968961,3952,1614,1600,247197,711,3250,1360
4620109.00,CT,Montréal,0.18047504370302,1983,993,985,192125,626,1705,670
4620110.00,CT,Montréal,0.233994742555961,3558,1936,1920,156170,551,3025,840
4620111.00,CT,Montréal,0.738642523047388,6419,2785,2770,142802,562,5180,1315
4620112.01,CT,Montréal,0.498935325160742,5039,1746,1745,162279,488,3715,525
4620112.02,CT,Montréal,0.279401921683192,4165,1970,1965,129991,463,3395,485
4620113.00,CT,Montréal,0.509975520045429,5114,2137,2115,192807,572,4135,1260
4620114.00,CT,Montréal,0.274747647948265,2034,902,885,279055,772,1745,715
4620115.01,CT,Montréal,0.211688312071085,2036,886,865,247286,660,1710,920
4620115.02,CT,Montréal,0.413999311341822,5696,3630,3515,92811,664,5335,2495
4620116.00,CT,Montréal,0.644812526592433,6903,2987,2935,189407,519,5410,1835
4620117.00,CT,Montréal,0.276069781057239,4632,1457,1450,151734,529,3220,480
4620118.00,CT,Montréal,0.301250505224228,4357,1509,1500,167404,524,3360,745
4620119.00,CT,Montréal,0.418728248692751,6183,2267,2265,145278,468,4655,675
4620120.00,CT,Montréal,3.07931636273926,3685,1636,1625,182903,441,3045,585
4620121.00,CT,Montréal,0.395864897950888,1389,572,570,199561,806,1150,480
4620122.00,CT,Montréal,0.663782900927901,6936,2881,2845,190339,450,5395,1130
4620123.00,CT,Montréal,0.409754568500966,6442,3203,3100,165476,505,5350,1870
4620124.00,CT,Montréal,0.37782869508183,5552,2545,2495,185743,483,4445,1160
4620125.00,CT,Montréal,0.45885123535192,6334,2724,2670,282924,717,5165,1600
4620126.00,CT,Montréal,0.775996554021835,2167,1033,890,212297,617,2045,1055
4620127.01,CT,Montréal,0.48910970280239,5325,3414,3195,167381,558,4945,2335
4620127.02,CT,Montréal,1.25333777532434,31,19,0,x,x,x,x
4620128.00,CT,Montréal,3.01668794008872,3578,1876,1770,386804,909,3270,1530
4620129.01,CT,Montréal,0.278416912243247,3874,2587,2325,244183,872,3705,1800
4620129.02,CT,Montréal,0.356441627164602,4086,2785,2510,259069,829,3890,1800
4620130.00,CT,Montréal,0.152232364252746,3348,2551,2165,163655,512,3095,1770
4620131.00,CT,Montréal,0.102289026767552,3198,2434,2135,129619,583,2955,1355
4620132.00,CT,Montréal,0.266498854123682,4933,3355,3135,137447,537,4350,1650
4620133.00,CT,Montréal,0.144677642939985,2483,1475,1400,154060,587,2320,775
4620134.00,CT,Montréal,0.0833692586202621,824,499,485,131182,709,805,370
4620135.00,CT,Montréal,0.117088525965929,1735,932,910,134564,555,1560,575
4620136.00,CT,Montréal,0.179698501177549,2710,1377,1350,129090,513,2375,760
4620137.00,CT,Montréal,0.186323091760635,1293,642,615,138891,520,1110,305
4620138.00,CT,Montréal,0.292413986345947,1966,1001,970,151514,568,1800,585
