GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620309.00,CT,Verdun,0.191417393148333,1254,588,585,126596,503,1080,85
4620310.00,CT,Verdun,0.45703208581388,3567,1639,1635,127044,531,3015,240
4620311.00,CT,Verdun,0.348399508601666,4091,1966,1960,104963,471,3275,215
4620312.00,CT,Verdun,0.293369090765476,3316,1607,1605,120735,528,2740,290
4620313.00,CT,Verdun,0.359682903577983,3363,1509,1500,123765,604,2800,190
4620314.00,CT,Verdun,0.259966912288547,2687,1209,1205,138188,531,2265,240
4620315.00,CT,Verdun,0.816580545731544,425,3,0,N,N,N,N
4620316.00,CT,Verdun,0.606028420499753,2066,819,820,136033,511,1635,300
4620317.01,CT,Verdun,2.43579023782758,6465,3494,3410,175513,831,5515,2600
4620317.02,CT,Verdun,1.18376664613764,5721,2977,2880,187564,859,4995,2325
4620320.00,CT,LaSalle,0.678128361858725,4658,2136,2130,130510,538,3945,470
4620321.00,CT,LaSalle,0.943088759429157,2889,1346,1345,129314,526,2405,190
4620322.01,CT,LaSalle,1.19870486056767,7778,3791,3785,183540,598,6825,725
4620322.02,CT,LaSalle,0.772556311733253,3816,1623,1620,156595,583,3195,495
4620323.00,CT,LaSalle,0.564950020044327,3210,1331,1325,156231,538,2410,220
4620324.01,CT,LaSalle,0.687825721307278,4288,1783,1775,171962,551,3575,335
4620324.02,CT,LaSalle,0.651625630245924,2728,1044,1040,149425,508,2215,165
4620325.01,CT,LaSalle,0.390070285583735,4009,1451,1450,150767,572,3230,165
4620325.02,CT,LaSalle,0.99319974475944,5910,2437,2430,145817,564,4775,295
4620325.03,CT,LaSalle,0.480448220082283,3759,1449,1445,167188,588,3120,260
4620325.04,CT,LaSalle,1.77649907556531,7287,3012,2980,136356,615,6265,790
4620326.01,CT,LaSalle,2.48884310944509,3006,1155,1145,175050,615,2445,200
4620326.02,CT,LaSalle,1.08343660767918,3604,1596,1590,120292,501,2980,185
4620326.03,CT,LaSalle,1.30577045252419,4805,1840,1835,164137,580,3990,330
4620327.00,CT,LaSalle,1.1250335035131,4783,2054,2045,129174,536,3870,350
4620328.00,CT,LaSalle,0.474468086218834,1967,789,790,0,421,1460,55
4620329.00,CT,LaSalle,0.708992194024917,3532,1613,1600,137347,513,2880,300
4620330.00,CT,Saint-Pierre,1.97681631016362,4739,2034,2025,117658,492,3745,250
4620340.00,CT,Montréal-Ouest,1.49273841573089,5254,1839,1830,211288,708,4040,1710
4620350.00,CT,Westmount,0.547589291355968,2439,1238,1215,261400,936,2015,795
4620351.00,CT,Westmount,0.466422580114484,5159,2937,2790,331496,1082,4665,2115
4620352.00,CT,Westmount,0.474720311685801,2844,1277,1245,249604,898,2280,1115
4620353.00,CT,Westmount,0.417876587237716,3003,1209,1185,321385,962,2460,1475
4620354.00,CT,Westmount,0.825036301862866,3310,1023,1005,450652,979,2605,1600
4620355.00,CT,Westmount,0.311167006898642,1471,618,600,451941,929,1285,725
4620356.00,CT,Westmount,0.979053538538098,2194,698,685,745948,195,1775,1010
4620360.00,CT,Outremont,1.45293646322745,2307,607,590,488369,1262,1885,925
4620361.00,CT,Outremont,0.126409491019785,1481,810,760,378221,718,1265,560
4620362.00,CT,Outremont,0.554683433218956,2593,895,880,406252,688,1990,915
4620363.00,CT,Outremont,0.364818043820053,4751,1960,1930,242181,796,3740,1395
4620364.00,CT,Outremont,0.223555643155992,2497,965,955,161322,657,1870,725
4620365.00,CT,Outremont,0.24346756703347,2549,1126,1110,144769,734,2025,965
4620366.00,CT,Outremont,0.333651413181245,2562,1055,1040,269888,716,2155,1200
4620367.00,CT,Outremont,0.559116110085964,3831,1834,1825,214607,753,3230,1415
4620370.00,CT,Hampstead,1.80154808651495,6986,2536,2525,388335,854,5670,2520
4620380.00,CT,Côte-Saint-Luc,0.792465665476903,4117,1809,1810,230253,632,3505,1010
4620381.00,CT,Côte-Saint-Luc,0.588669339923382,5335,2698,2690,147766,737,4610,905
4620382.01,CT,Côte-Saint-Luc,0.572235183480382,3709,1622,1615,209658,675,3220,850
4620382.02,CT,Côte-Saint-Luc,1.57700592108613,4392,1520,1515,183657,682,3570,1080
4620383.01,CT,Côte-Saint-Luc,1.60985196414208,3528,1069,1065,196749,644,2435,745
4620383.02,CT,Côte-Saint-Luc,1.49195155649924,6820,3296,3285,214997,849,5995,1185
4620385.00,CT,Côte-Saint-Luc,0.0377588823711872,1464,969,965,150746,831,1435,350
4620390.00,CT,Lachine,1.06170267997572,1353,600,600,117135,477,1125,35
4620391.00,CT,Lachine,0.276815361192077,1856,815,805,109944,526,1450,135
4620392.00,CT,Lachine,0.403412019009467,1336,587,595,124215,567,1080,50
4620393.00,CT,Lachine,1.05181848517087,5124,2220,2215,106108,488,4085,260
4620394.00,CT,Lachine,1.34609895746408,3667,1638,1635,105520,489,2970,65
4620395.01,CT,Lachine,7.58942909223592,2544,1086,1085,110209,456,1790,40
4620395.02,CT,Lachine,0.67368094552476,5774,2474,2465,129614,496,4490,500
4620395.03,CT,Lachine,0.594156382492065,4160,2075,2060,128301,510,3545,705
4620396.00,CT,Lachine,1.47992596903008,5522,2442,2435,145405,517,4580,1040
4620397.00,CT,Lachine,1.18648843001056,3835,1410,1410,135394,688,3060,705
4620400.00,CT,Mont-Royal,1.37734020633613,4251,1600,1585,300523,734,3475,1470
4620401.00,CT,Mont-Royal,0.962809485287547,2993,1269,1255,386283,744,2455,1235
4620402.00,CT,Mont-Royal,2.54138517725456,1141,464,460,236039,633,975,340
4620403.00,CT,Mont-Royal,1.36298351362823,4964,1833,1815,347525,747,4065,1875
4620404.00,CT,Mont-Royal,1.51513409616236,4933,1733,1725,375176,831,3885,1715
4620410.01,CT,Saint-Laurent,0.846585895279437,5034,2033,2020,159934,582,4235,930
4620410.02,CT,Saint-Laurent,0.790403990023851,4838,2376,2350,131212,745,4245,1140
4620410.03,CT,Saint-Laurent,2.15816195372832,1701,554,555,128049,536,1305,205
4620412.00,CT,Saint-Laurent,1.49366396434307,5140,1881,1875,176755,616,4300,1115
4620413.00,CT,Saint-Laurent,1.63981881605196,7106,2494,2490,201117,611,5750,1285
4620415.01,CT,Saint-Laurent,28.7448291272378,1165,464,455,165459,693,960,240
4620415.02,CT,Saint-Laurent,0.746729559266329,8739,3897,3880,202111,720,7575,1420
4620416.00,CT,Saint-Laurent,1.90100280548143,7635,2514,2510,176587,611,6430,1275
4620417.01,CT,Saint-Laurent,0.63931792261076,3849,1415,1410,125004,550,3160,390
4620417.02,CT,Saint-Laurent,0.377555563120693,2547,753,755,119573,485,1860,100
4620418.00,CT,Saint-Laurent,1.2829826617015,5192,2191,2160,161880,561,4325,885
4620419.00,CT,Saint-Laurent,0.375604461437047,4542,1679,1675,115418,522,3495,315
4620420.00,CT,Saint-Laurent,0.801722037483335,4485,1650,1645,157761,519,3585,760
4620421.00,CT,Saint-Laurent,0.839035426233411,12267,5463,5440,174557,619,9980,1820
4620430.00,CT,Dorval,2.01904666161437,5325,2593,2545,147132,508,4505,835
4620431.00,CT,Dorval,2.21247598552775,5445,2362,2290,186619,622,4610,1050
4620432.00,CT,Dorval,1.31862176762843,3245,1218,1210,146968,631,2625,660
4620433.00,CT,Dorval,15.5697957404123,3557,1361,1360,105783,621,2875,440
4620440.00,CT,L'Île-Dorval,0.209607308328748,2,1,0,x,x,x,x
4620450.00,CT,Pointe-Claire,3.8129900619781,7144,3051,3010,170057,686,5875,1900
4620451.00,CT,Pointe-Claire,3.34341742218781,6410,2385,2380,119600,723,4975,1120
4620452.00,CT,Pointe-Claire,3.14667394826838,6399,2670,2620,147744,790,5180,1520
4620453.01,CT,Pointe-Claire,1.9953099692018,5296,1822,1820,126979,657,4115,885
4620453.02,CT,Pointe-Claire,6.66187488328463,3186,1105,1100,125772,731,2385,590
4620460.00,CT,Beaconsfield,3.6478378246851,5414,1823,1810,216906,1158,4305,1720
4620461.00,CT,Beaconsfield,1.82872951772928,2934,1033,1030,173852,868,2290,760
4620462.01,CT,Beaconsfield,2.3771247667141,5364,1846,1835,169127,879,4170,1515
4620462.02,CT,Beaconsfield,3.16542060942733,5702,1756,1735,223193,1029,4330,1650
4620470.01,CT,Kirkland,3.48752700691771,6849,2369,2355,158668,796,5485,1625
4620470.02,CT,Kirkland,3.66925995982969,8109,2259,2255,177565,1082,5925,1590
4620470.03,CT,Kirkland,2.39848872351818,3720,1059,1055,190153,1352,2555,905
4620480.00,CT,Baie-d'Urfé,6.00819483014226,3774,1326,1315,228603,1283,3085,1120
4620490.00,CT,Sainte-Anne-de-Bellevue,0.72125724267194,2292,1218,1150,128407,554,2020,465
4620491.00,CT,Sainte-Anne-de-Bellevue,10.0260549792156,2408,638,605,145993,508,1255,470
4620500.00,CT,Senneville,7.28128883550534,906,355,350,341829,737,795,285
4620510.00,CT,Pierrefonds,0.743889919441462,2853,1003,1000,91837,592,2005,370
4620511.00,CT,Pierrefonds,2.31075703391242,5893,2136,2130,132902,506,4660,940
4620512.01,CT,Pierrefonds,2.49190801654386,7705,3096,3085,109977,589,6170,940
4620512.02,CT,Pierrefonds,1.51098791674876,4302,1624,1615,137896,634,3470,590
4620513.00,CT,Pierrefonds,2.34546628250223,8183,3069,3055,119473,490,6490,1125
4620514.01,CT,Pierrefonds,2.02164127437627,5573,1900,1895,110228,595,4275,700
4620514.02,CT,Pierrefonds,1.92405385514335,5485,1848,1850,124216,603,4180,945
4620515.00,CT,Pierrefonds,11.7680369612167,12992,4425,4415,128852,619,9415,1960
4620520.01,CT,Dollard-des-Ormeaux,2.54415850704658,8687,3005,2995,127785,606,6805,1295
4620520.02,CT,Dollard-des-Ormeaux,1.75146108350337,7300,2287,2280,106513,683,5665,1105
4620521.01,CT,Dollard-des-Ormeaux,0.850103082973063,4776,1587,1580,105200,688,3585,670
4620521.02,CT,Dollard-des-Ormeaux,2.76003023358202,8124,2464,2455,172878,628,6070,1745
4620521.03,CT,Dollard-des-Ormeaux,4.07375892142488,8454,2364,2360,194254,1383,6325,1870
4620522.01,CT,Dollard-des-Ormeaux,1.30556586520505,4123,1322,1320,127690,693,3280,885
4620522.02,CT,Dollard-des-Ormeaux,1.00615292344487,3707,1232,1225,136473,622,3000,555
4620523.00,CT,Dollard-des-Ormeaux,0.789229766906738,2655,804,810,127378,869,2075,540
4620530.00,CT,Roxboro,2.25486515976691,5950,2058,2060,111445,561,4685,630
4620540.00,CT,Sainte-Geneviève,0.891997968853295,3339,1471,1465,109471,549,2625,270
4620550.01,CT,L'Île-Bizard,9.55492638678217,10222,3311,3305,152096,598,7320,1495
4620550.02,CT,L'Île-Bizard,13.6517466085808,2816,1002,1000,164380,471,2160,315
4620570.00,CT,Montréal-Est,12.4258735843586,3523,1457,1455,91759,504,2785,75
4620580.01,CT,Montréal,1.31583261812973,4029,1561,1560,120932,484,3100,260
4620580.02,CT,Montréal,0.75159347367996,1085,433,430,88879,512,825,70
4620580.03,CT,Montréal,1.13921152372399,4353,1465,1465,126733,531,3160,340
4620581.01,CT,Montréal,1.32055116336495,6035,1954,1950,99874,514,4465,285
4620581.02,CT,Montréal,0.680646309994161,3836,1461,1460,103610,440,3010,160
4620582.01,CT,Montréal,1.25769460050344,7151,2991,2985,106312,523,5685,360
4620582.02,CT,Montréal,1.252969576563,6351,2475,2475,100156,511,5045,300
4620583.00,CT,Montréal,0.77285926829493,3443,1276,1275,116346,506,2745,135
4620584.00,CT,Montréal,1.65324483650726,7384,3082,3070,101535,491,5855,225
4620585.01,CT,Montréal,3.46040684654671,1450,552,550,126896,523,1180,145
4620585.02,CT,Montréal,5.55304945629997,3643,1494,1495,115794,557,3005,230
4620590.01,CT,Anjou,1.45959143640441,5237,2038,2035,137313,522,4035,460
4620590.02,CT,Anjou,0.309206736766517,3032,1337,1330,135707,489,2455,170
4620591.01,CT,Anjou,0.510010839186668,2639,1068,1065,135181,527,2245,370
4620591.02,CT,Anjou,0.68166194997263,3889,1610,1610,157935,525,3200,550
4620592.00,CT,Anjou,0.946872009981215,6773,3017,3010,149378,493,5750,665
4620593.00,CT,Anjou,1.5228138738122,6249,3040,3015,132166,570,5520,675
4620594.01,CT,Anjou,0.398794483152091,3066,1366,1360,129075,530,2575,230
4620594.02,CT,Anjou,7.83631268913388,6423,2887,2880,123003,556,5575,910
4620600.01,CT,Saint-Léonard,0.777218888439238,3922,1576,1575,260405,550,3345,275
4620600.02,CT,Saint-Léonard,0.41599586375457,3621,1656,1650,190369,517,3080,290
4620600.03,CT,Saint-Léonard,0.722859150835335,4990,1915,1910,217455,575,3975,350
4620601.01,CT,Saint-Léonard,0.296128070075989,3129,1286,1285,192334,578,2715,290
4620601.02,CT,Saint-Léonard,0.41586591473189,2894,1368,1365,204151,534,2495,260
4620602.01,CT,Saint-Léonard,0.547820430287838,3174,1314,1315,204377,596,2740,365
4620602.02,CT,Saint-Léonard,0.599289977721691,2766,1135,1135,235848,567,2295,215
4620603.01,CT,Saint-Léonard,0.537542550471663,3838,1638,1630,240702,544,3230,255
4620603.02,CT,Saint-Léonard,0.626760811487198,3693,1429,1430,218119,600,3165,245
4620603.03,CT,Saint-Léonard,0.356668566889644,3682,1261,1260,219687,539,2780,185
4620604.01,CT,Saint-Léonard,0.906681605100393,3290,1153,1155,180775,589,2810,475
4620604.02,CT,Saint-Léonard,0.291563818735778,4123,1596,1595,337598,567,3345,225
4620604.03,CT,Saint-Léonard,0.492105596636891,3217,1207,1205,238317,559,2750,185
4620604.04,CT,Saint-Léonard,0.719538229998112,3846,1410,1410,248968,559,3105,260
4620604.05,CT,Saint-Léonard,0.582720570233464,3674,1445,1445,268294,549,3020,240
4620605.01,CT,Saint-Léonard,1.33210287348175,3012,1284,1280,211059,496,2610,250
4620605.02,CT,Saint-Léonard,0.628878582637072,2011,712,710,170656,570,1745,220
4620605.03,CT,Saint-Léonard,0.983768792011976,5324,2171,2170,240418,533,4405,350
4620605.04,CT,Saint-Léonard,1.54800673053837,4776,1781,1775,175807,564,3930,390
4620605.05,CT,Saint-Léonard,0.562398805744886,2345,891,890,180691,610,1980,255
4620610.01,CT,Montréal-Nord,0.966507645827591,4555,1889,1865,157926,522,3615,120
4620610.02,CT,Montréal-Nord,0.485650955666423,4751,1794,1790,170220,543,3775,225
4620610.03,CT,Montréal-Nord,0.821794748500183,5419,2433,2425,139519,646,4665,435
4620610.04,CT,Montréal-Nord,0.198331109193504,3876,1667,1665,148456,495,2905,75
4620610.05,CT,Montréal-Nord,0.353222974505544,4520,1818,1810,178973,514,3300,90
4620610.06,CT,Montréal-Nord,0.332176618493617,2736,1034,1025,148370,511,2210,100
4620610.07,CT,Montréal-Nord,0.508321598408937,4380,2199,2195,127338,559,3515,130
4620611.01,CT,Montréal-Nord,0.737351850364506,2723,1120,1120,139425,543,2260,95
4620611.02,CT,Montréal-Nord,0.568993658383131,5321,2155,2150,136400,504,4285,190
4620612.00,CT,Montréal-Nord,0.777278334238648,3976,1637,1635,136532,520,3280,90
4620613.00,CT,Montréal-Nord,1.00615349738047,6769,2729,2725,139519,501,5375,310
4620614.00,CT,Montréal-Nord,0.456881519864798,3447,1571,1565,131454,523,2860,200
4620615.00,CT,Montréal-Nord,0.56203015942955,5011,2083,2085,137171,508,4045,215
4620616.00,CT,Montréal-Nord,0.763683757104754,5868,2364,2360,132693,526,4715,270
4620617.01,CT,Montréal-Nord,0.893469243923604,5250,2132,2125,137498,497,4390,410
4620617.02,CT,Montréal-Nord,0.663898828363419,3730,1521,1510,130488,532,3055,290
4620618.00,CT,Montréal-Nord,0.491342280630648,3247,1510,1505,137234,533,2670,150
4620619.00,CT,Montréal-Nord,0.551213662373662,6002,3219,3215,128281,589,4890,355
4620625.01,CT,Laval,5.15835704301756,5896,1841,1835,96799,691,4285,265
4620625.02,CT,Laval,1.92432796553707,5725,1721,1720,96301,701,4230,260
4620626.00,CT,Laval,10.4456957869326,3498,1257,1255,105448,621,2720,285
4620627.00,CT,Laval,5.22873741540566,7180,2652,2640,109896,547,4990,420
4620628.01,CT,Laval,1.74258489431548,4420,1782,1780,115174,521,3705,395
4620628.02,CT,Laval,0.786327594972596,3672,1485,1480,110673,524,3005,475
4620629.00,CT,Laval,1.2019334035418,3307,1263,1260,122903,499,2855,525
4620630.01,CT,Laval,1.1921482206223,3604,1256,1255,142945,643,3060,640
4620630.02,CT,Laval,2.1961812792902,5003,1723,1715,178798,512,4160,1060
4620631.00,CT,Laval,24.3820428881597,1508,503,500,201563,564,1185,185
4620632.01,CT,Laval,1.50899690097249,5120,1892,1890,117214,626,4200,495
4620632.02,CT,Laval,1.87456859297329,4777,1767,1760,115989,508,3835,325
4620632.03,CT,Laval,4.12174447705096,5387,2071,2065,165839,673,4320,615
4620632.04,CT,Laval,1.84638104545307,7174,2803,2795,129512,573,5590,780
4620633.00,CT,Laval,1.60246945988941,5333,2339,2335,141932,671,4610,855
4620634.00,CT,Laval,0.821080745334953,2958,1215,1210,120760,582,2495,415
4620635.00,CT,Laval,1.03204723547065,5486,2569,2570,110435,598,4695,480
4620636.00,CT,Laval,2.22730430983502,6277,2478,2470,114939,538,4940,370
4620637.01,CT,Laval,1.57583387485808,5420,1838,1840,117802,555,4365,560
4620637.02,CT,Laval,1.44196158987606,2735,1362,1355,148616,505,2230,220
4620638.01,CT,Laval,0.89206715656364,5604,2486,2475,114363,566,4745,605
4620638.02,CT,Laval,0.459513296193063,2088,825,825,114150,604,1785,155
4620638.03,CT,Laval,0.673473296002388,4219,1697,1695,116700,556,3430,310
4620638.04,CT,Laval,0.824693731003165,6321,2882,2875,131767,496,5135,360
4620639.00,CT,Laval,1.33956325729275,3487,1522,1520,122029,520,2800,355
4620640.00,CT,Laval,0.805508970833927,3318,1394,1390,116706,552,2745,285
4620641.01,CT,Laval,1.31015472162616,7026,3244,3210,107607,559,5990,705
4620641.02,CT,Laval,1.35227538421738,2209,805,805,116293,530,1850,310
4620642.00,CT,Laval,9.51334448244965,6890,2897,2890,114043,505,5710,990
4620643.00,CT,Laval,8.25032437252247,5991,2947,2935,99715,538,5165,390
4620644.00,CT,Laval,1.4396679475323,1070,452,450,129569,581,915,120
4620645.00,CT,Laval,1.54498088810873,5187,2685,2685,106254,600,4460,200
4620646.01,CT,Laval,0.511750284446239,3222,1307,1300,84758,492,2455,160
4620646.02,CT,Laval,0.606111779649735,3398,1343,1330,111094,555,2805,340
4620646.03,CT,Laval,0.49392399845016,3343,1573,1560,102998,595,2855,380
4620647.01,CT,Laval,0.311681632812068,3036,1818,1800,150936,662,2940,550
4620647.02,CT,Laval,1.61632880011213,5991,2482,2470,122576,533,4995,585
4620648.00,CT,Laval,1.13132886552423,5187,1830,1830,126683,528,4380,500
4620649.01,CT,Laval,1.51547219844294,2870,913,915,150174,513,2360,275
4620649.02,CT,Laval,1.3116017467382,5818,1860,1860,113117,589,4830,430
4620650.01,CT,Laval,0.757107190309942,4786,1551,1545,140739,597,4015,355
4620650.02,CT,Laval,0.717096156375974,3993,1384,1385,126874,576,3325,250
4620650.03,CT,Laval,2.69222934760988,5032,1623,1620,120577,559,3670,465
4620651.00,CT,Laval,7.357901437015,9856,3144,3145,128107,515,7390,1080
4620652.01,CT,Laval,3.06133858443129,5304,1786,1785,132836,555,4095,640
4620652.02,CT,Laval,11.8453288142818,6414,2264,2240,116328,583,4905,860
4620652.03,CT,Laval,3.75518179489565,7348,2477,2475,123452,655,5510,815
4620653.00,CT,Laval,0.621233501885891,978,367,365,153088,611,795,235
4620654.00,CT,Laval,1.70343352599922,742,276,270,306094,724,620,175
4620655.01,CT,Laval,1.52654106187413,3870,1428,1425,83171,534,2945,135
4620655.02,CT,Laval,2.46263944306108,5763,2010,2000,87690,516,4305,210
4620656.01,CT,Laval,6.20956826247266,5695,2046,2040,93448,638,4300,215
4620656.02,CT,Laval,5.80997083147088,6231,2150,2150,94604,533,4645,555
4620657.01,CT,Laval,1.89849993049312,3467,1279,1275,99062,517,2895,190
4620657.02,CT,Laval,1.52562268684673,5778,1988,1985,102489,586,4475,445
4620657.03,CT,Laval,1.79228840729058,3723,1087,1085,111866,588,2635,275
4620658.01,CT,Laval,1.2504587030555,5064,1678,1675,97558,548,4065,175
4620658.02,CT,Laval,0.894781158306867,3581,1145,1145,98654,463,2810,175
4620658.03,CT,Laval,5.75183935646666,5993,2086,2080,105537,573,4750,455
4620659.01,CT,Laval,4.02189157536003,9968,3707,3705,108883,608,7575,985
4620659.02,CT,Laval,3.44029169297504,6031,2281,2275,109834,503,4740,600
4620659.03,CT,Laval,8.62845027732474,7774,2645,2645,122492,618,5540,1370
4620660.01,CT,Laval,2.06833158668041,3509,1089,1085,127158,0,2470,370
4620660.02,CT,Laval,1.41157375045791,5439,1913,1910,103106,528,4335,420
4620660.03,CT,Laval,2.62219199932814,4972,1609,1605,139565,515,3645,505
4620661.01,CT,Laval,5.55774233165123,6855,2306,2305,105522,560,5050,440
4620661.02,CT,Laval,20.4084860124042,6866,2322,2315,110617,572,5240,655
4620662.00,CT,Laval,28.7895315447036,4606,1559,1555,107900,456,3555,305
4620675.00,CT,Repentigny,3.5757206679072,5341,2463,2450,114538,475,4680,495
4620676.01,CT,Repentigny,1.50708331050736,3660,1331,1330,125742,674,2970,490
4620676.02,CT,Repentigny,1.15207151010501,3217,1101,1095,100548,584,2735,295
4620676.03,CT,Repentigny,1.19064052029824,2815,913,915,96607,718,2315,220
4620676.04,CT,Repentigny,1.46959475965548,3637,1126,1125,115006,561,2920,260
4620677.01,CT,Repentigny,2.31875075206213,6485,2425,2425,113953,540,5270,455
4620677.02,CT,Repentigny,2.21537588298798,5788,2339,2335,96152,559,4715,405
4620677.03,CT,Repentigny,2.82186353135204,6672,2172,2170,111736,557,4800,575
4620677.04,CT,Repentigny,6.19245371145212,10852,3639,3640,108877,565,7700,1025
4620677.05,CT,Repentigny,1.87585147489309,5357,1607,1605,157692,717,3740,765
4620681.00,CT,Saint-Sulpice,35.5395175930628,3307,1147,1135,108166,437,2470,120
4620682.01,CT,Le Gardeur,25.1752432988112,14095,4606,4605,95823,533,10075,665
4620682.02,CT,Le Gardeur,12.1165347939664,2758,1009,1010,106896,539,2140,115
4620683.00,CT,Charlemagne,1.94663538632824,5739,2225,2220,92508,504,4530,325
4620684.01,CT,Lachenaie,30.8696047088585,8287,2717,2715,104311,536,6030,510
4620684.02,CT,Lachenaie,11.6287283668869,10202,3343,3340,115730,560,7675,620
4620685.01,CT,Mascouche,18.4203977028881,13819,4427,4425,93477,532,10140,480
4620685.02,CT,Mascouche,56.2527099861231,3671,1267,1260,89520,455,2845,130
4620686.00,CT,Mascouche,32.0565186618949,10607,3400,3400,90323,539,7960,470
4620687.01,CT,Terrebonne,2.65599193343878,4169,1341,1340,107555,552,3100,375
4620687.02,CT,Terrebonne,43.3386888082867,6428,2133,2130,88120,582,4675,130
4620687.03,CT,Terrebonne,15.3632183364975,3185,1107,1105,96483,443,2425,120
4620687.04,CT,Terrebonne,1.89939803430657,5600,1806,1805,106615,655,4155,395
4620687.05,CT,Terrebonne,4.69913744990861,9834,3190,3185,108601,610,7060,550
4620688.00,CT,Sainte-Anne-des-Plaines,94.7183404185867,12908,4013,4015,95329,534,8735,395
4620689.00,CT,La Plaine,38.3624856239323,14413,4567,4565,81935,561,10055,225
4620690.00,CT,Saint-Antoine-de-Lavaltrie,65.170863228611,4385,1535,1530,91588,552,3260,160
4620691.00,CT,Lavaltrie,2.52480505394143,5821,1968,1965,88485,578,4085,170
4620692.00,CT,L'Assomption,65.1430164241785,5736,1901,1900,102844,541,4260,290
4620693.00,CT,L'Assomption,2.20217017369103,5630,2166,2155,88121,486,4270,305
4620694.00,CT,Saint-Gérard-Majella,33.3271282514127,4207,1397,1390,89679,599,3065,180
4620700.01,CT,Terrebonne,1.27425654743336,5097,2160,2160,90157,526,4070,180
4620700.02,CT,Terrebonne,3.30311018089414,7901,3184,3180,102890,526,6420,470
4620701.00,CT,Bois-des-Filion,4.22947247809267,7124,2546,2540,87100,559,5385,250
4620702.01,CT,Lorraine,2.16921822737801,2170,714,710,148854,699,1700,395
4620702.02,CT,Lorraine,3.91230945450985,6706,2032,2035,180853,724,4920,1105
4620703.01,CT,Rosemère,6.31324636198726,8202,2635,2630,158465,609,6020,1095
4620703.02,CT,Rosemère,4.46542073811251,3823,1391,1385,167695,475,3070,500
4620704.01,CT,Boisbriand,1.82291867376129,4861,2014,2015,102809,490,3755,230
4620704.02,CT,Boisbriand,9.25790487017898,12973,4246,4245,115746,551,9495,1140
4620704.03,CT,Boisbriand,17.0780507890995,7393,2364,2360,114989,570,4975,515
4620705.00,CT,Sainte-Thérèse,3.55233790283966,8099,3067,3065,137864,573,6585,1425
4620706.00,CT,Sainte-Thérèse,1.38383923282146,3149,1563,1560,85423,509,2630,100
4620707.00,CT,Sainte-Thérèse,1.85869970867419,4213,1952,1925,88077,451,3435,235
4620708.00,CT,Sainte-Thérèse,2.76031139706206,8016,3265,3245,111313,526,6300,670
4620709.00,CT,Blainville,6.02281551426747,8758,3106,3100,100190,528,6770,500
4620710.00,CT,Blainville,49.3250621790969,20845,7012,7005,113091,584,15130,1790
4620725.01,CT,Saint-Eustache,4.14941363471278,7622,2538,2535,94553,559,6000,340
4620725.02,CT,Saint-Eustache,58.9567398596417,10033,3223,3220,104508,570,7100,585
4620726.01,CT,Saint-Eustache,1.77452186705053,6916,2584,2580,97776,501,5495,365
4620726.02,CT,Saint-Eustache,2.18185200990748,7757,2846,2840,98041,546,5955,380
4620727.00,CT,Saint-Eustache,2.6194410570634,7520,3188,3180,99097,511,6055,360
4620728.00,CT,Deux-Montagnes,4.61201625184608,12143,4237,4230,96698,603,8970,810
4620729.00,CT,Deux-Montagnes,1.58221554777184,3810,1542,1525,95712,502,2955,265
4620730.00,CT,Sainte-Marthe-sur-le-Lac,9.30358479318792,8295,2935,2910,86864,531,6310,265
4620731.00,CT,Pointe-Calumet,5.01106182857537,5443,1976,1975,77431,546,4090,160
4620732.00,CT,Oka,111.658702545886,7942,2759,2755,116289,495,6050,655
4620733.00,CT,Mirabel,285.556626864852,5520,1978,1940,96981,601,4285,255
4620734.00,CT,Mirabel,192.612826343933,9580,3337,3335,95025,508,6965,430
4620735.00,CT,Mirabel,62.3212392303008,9068,3252,3250,104861,553,6635,325
4620740.00,CT,Gore,191.759329192194,6702,2538,2535,82965,459,5095,295
4620750.00,CT,Notre-Dame-de-l'Île-Perrot,35.7941154633429,18214,6821,6795,110164,523,13985,1470
4620751.01,CT,Pincourt,3.2094065228522,5398,1887,1885,97250,468,4110,415
4620751.02,CT,Pincourt,4.45149163262844,4625,1475,1475,104819,578,3440,290
4620755.00,CT,Vaudreuil-Dorion,3.53569930785834,5641,2272,2265,106516,488,4585,310
4620756.01,CT,Vaudreuil-Dorion,5.02286295631823,7707,2929,2915,99649,511,5915,640
4620756.02,CT,Vaudreuil-Dorion,10.7336601480586,678,241,240,146813,442,500,70
4620756.03,CT,Vaudreuil-Dorion,57.8984212712078,6399,2285,2255,137042,576,4895,665
4620757.00,CT,Hudson,21.9831868334584,4796,1928,1920,189735,672,3890,1095
4620758.00,CT,Saint-Lazare,67.4362056378713,11193,3671,3670,156920,638,8095,1320
4620760.00,CT,Les Cèdres,78.2725469230681,4641,1650,1645,103556,496,3480,285
4620775.00,CT,Léry,10.4677244805441,2410,895,890,130477,533,1930,220
4620776.00,CT,Beauharnois,20.2194693730752,5723,2362,2355,77900,470,4605,135
4620777.00,CT,Beauharnois,48.6914020829498,5804,2224,2220,88560,476,4530,275
4620780.00,CT,Saint-Jérôme,1.46027157335563,3613,1542,1540,105865,446,3000,350
