GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620120.01,CT,Mont-Royal,2.63402,5690,2913,2686,1210,1445
4620120.02,CT,Côte-Saint-Luc,0.19832,1029,464,450,390,60
4620121.00,CT,Montréal,0.38542,1769,718,689,405,300
4620122.00,CT,Montréal,0.66607,6595,3366,2949,140,2805
4620123.00,CT,Montréal,0.41044,6249,3559,3128,325,2805
4620124.00,CT,Montréal,0.37836,5729,2899,2592,330,2265
4620125.00,CT,Montréal,0.47588,6272,2866,2617,1190,1410
4620126.00,CT,Montréal,0.7459,2536,1116,897,230,625
4620127.01,CT,Montréal,0.486,5554,3780,3252,375,2915
4620127.02,CT,Montréal,1.32039,5,4,3,x,x
4620128.00,CT,Montréal,3.02289,3491,2006,1773,890,885
4620129.01,CT,Montréal,0.28444,3835,2933,2221,750,1500
4620129.02,CT,Montréal,0.35879,3438,2982,2112,310,1775
4620130.00,CT,Montréal,0.15351,2946,2791,2026,190,1905
4620131.00,CT,Montréal,0.10462,3137,2672,2067,100,1910
4620132.00,CT,Montréal,0.26711,4865,3801,3061,285,2765
4620133.00,CT,Montréal,0.14552,2508,1737,1450,280,1135
4620134.00,CT,Montréal,0.08604,1057,745,617,325,280
4620135.00,CT,Montréal,0.12044,1758,974,856,330,570
4620136.00,CT,Montréal,0.18156,2774,1691,1479,430,1030
4620137.00,CT,Montréal,0.18231,1165,734,629,100,495
4620138.00,CT,Montréal,0.27868,1994,1216,1030,290,730
4620139.00,CT,Montréal,0.22046,3174,1887,1648,630,1070
4620140.00,CT,Montréal,0.11807,1420,733,681,320,390
4620141.00,CT,Montréal,0.11994,1623,920,804,345,480
4620142.00,CT,Montréal,0.10996,1657,982,854,250,580
4620143.00,CT,Montréal,0.17284,2418,1604,1416,235,1180
4620144.00,CT,Montréal,0.19108,3512,2280,2045,600,1415
4620145.00,CT,Montréal,0.43956,0,0,0,x,x
4620146.00,CT,Montréal,0.14146,2391,1529,1427,455,995
4620147.00,CT,Montréal,0.16824,2749,1670,1519,460,1060
4620148.00,CT,Montréal,0.14256,1306,502,472,170,290
4620149.00,CT,Montréal,0.13819,3161,1924,1756,520,1215
4620150.00,CT,Montréal,0.16464,2474,1516,1375,330,1065
4620151.00,CT,Montréal,0.11707,2215,1172,1126,320,785
4620152.00,CT,Montréal,0.13642,1525,935,863,210,685
4620153.00,CT,Montréal,0.27978,785,496,431,85,320
4620154.00,CT,Montréal,0.12439,1144,635,615,265,360
4620155.00,CT,Montréal,0.10595,1753,1074,1005,190,800
4620156.00,CT,Montréal,0.13767,1923,1155,1078,265,805
4620157.00,CT,Montréal,0.16114,2132,1209,1120,375,765
4620158.00,CT,Montréal,0.1382,2021,1299,1189,290,920
4620159.00,CT,Montréal,0.1239,1942,1026,963,475,545
4620160.00,CT,Montréal,0.1202,1749,1113,1028,300,715
4620161.00,CT,Montréal,0.13912,1934,1088,993,265,715
4620162.00,CT,Montréal,0.09334,1574,996,918,280,620
4620163.00,CT,Montréal,0.20235,3096,1639,1457,485,955
4620164.00,CT,Montréal,0.06939,1301,816,738,225,500
4620165.00,CT,Montréal,0.15013,2455,1209,1099,250,855
4620166.00,CT,Montréal,0.23481,491,336,271,120,135
4620167.00,CT,Montréal,0.20549,2549,1229,1157,300,900
4620168.00,CT,Montréal,0.17021,2886,1238,1136,365,735
4620169.00,CT,Montréal,0.14726,2216,1042,973,340,625
4620170.00,CT,Montréal,0.15803,2111,1168,1044,285,750
4620171.00,CT,Montréal,0.48308,4735,2836,2648,930,1750
4620172.00,CT,Montréal,0.19813,2496,1680,1551,435,1075
4620173.00,CT,Montréal,0.18658,2029,1212,1141,350,825
4620174.00,CT,Montréal,0.22991,2091,1305,1221,510,700
4620175.00,CT,Montréal,0.11901,1978,1141,1059,470,600
4620176.00,CT,Montréal,0.11391,1572,920,873,205,640
4620177.00,CT,Montréal,0.09885,1346,802,748,230,515
4620178.00,CT,Montréal,0.27997,2353,1422,1323,310,1035
4620179.00,CT,Montréal,0.49786,3819,2356,2172,515,1675
4620180.00,CT,Montréal,0.26417,3378,2022,1904,430,1485
4620181.00,CT,Montréal,0.3347,4468,3042,2449,600,1830
4620182.00,CT,Montréal,0.13792,2155,1182,1125,295,820
4620183.00,CT,Montréal,0.1318,2205,1265,1231,315,910
4620184.00,CT,Montréal,0.2191,2943,1615,1540,595,950
4620185.00,CT,Montréal,0.39316,5217,2982,2756,800,1950
4620186.00,CT,Montréal,0.38733,4539,2577,2445,635,1830
4620187.01,CT,Montréal,0.3649,3032,1937,1702,400,1295
4620187.03,CT,Montréal,0.35582,4805,2622,2550,975,1560
4620187.04,CT,Montréal,0.76954,5679,2430,2406,1470,935
4620188.01,CT,Montréal,0.15136,2186,1233,1150,380,785
4620188.02,CT,Montréal,0.22868,2671,1530,1407,425,980
4620189.00,CT,Montréal,1.46951,0,0,0,x,x
4620190.01,CT,Montréal,0.4538,3599,1925,1809,725,1030
4620190.02,CT,Montréal,1.04323,4145,2359,2272,1205,1060
4620191.00,CT,Montréal,1.69169,6171,3115,2875,1075,1795
4620192.00,CT,Montréal,0.77969,3290,1197,1172,810,370
4620193.00,CT,Montréal,0.26464,2003,986,924,420,495
4620194.00,CT,Montréal,1.20926,7557,3196,3061,1535,1525
4620195.01,CT,Montréal,0.55126,3479,1720,1609,505,1115
4620195.02,CT,Montréal,0.59995,5390,2495,2347,750,1580
4620195.03,CT,Montréal,0.88641,4978,2392,2255,805,1470
4620196.00,CT,Montréal,0.40496,3944,2261,2018,520,1480
4620197.00,CT,Montréal,0.59611,5027,2580,2404,635,1790
4620198.00,CT,Montréal,0.64661,4940,2619,2440,745,1660
4620199.00,CT,Montréal,0.22514,2613,1429,1341,385,960
4620200.00,CT,Montréal,0.30705,4667,2396,2278,715,1585
4620201.00,CT,Montréal,0.93812,7118,3666,3436,870,2630
4620202.00,CT,Montréal,0.61472,4224,2429,2280,600,1620
4620203.00,CT,Montréal,0.23786,2700,1560,1459,505,925
4620204.00,CT,Montréal,0.23491,2670,1525,1438,475,980
4620205.00,CT,Montréal,0.17688,2115,1222,1150,355,750
4620206.00,CT,Montréal,0.23216,2564,1445,1352,520,855
4620207.00,CT,Montréal,0.25581,3331,1855,1784,530,1295
4620208.00,CT,Montréal,0.19923,2465,1408,1292,460,860
4620209.00,CT,Montréal,0.66473,5819,3255,3024,775,2215
4620210.00,CT,Montréal,0.32648,3961,2348,2208,645,1590
4620211.00,CT,Montréal,0.17652,2281,1329,1267,265,1010
4620212.00,CT,Montréal,0.19393,2565,1464,1387,395,990
4620213.00,CT,Montréal,0.19136,2664,1417,1344,360,990
4620214.00,CT,Montréal,0.25372,2737,1497,1405,355,1065
4620215.00,CT,Montréal,0.23403,3031,1745,1633,490,1130
4620216.00,CT,Montréal,0.32356,2233,1332,1247,340,895
4620217.00,CT,Montréal,0.16246,2650,1522,1449,315,1165
4620218.00,CT,Montréal,0.28019,3042,1831,1684,355,1310
4620219.00,CT,Montréal,0.31258,2778,1663,1528,635,880
4620220.00,CT,Montréal,0.41978,5798,3025,2802,545,2225
4620221.00,CT,Montréal,0.32858,5988,2976,2698,475,2220
4620222.00,CT,Montréal,0.19894,3587,1634,1492,425,1100
4620223.01,CT,Montréal,0.14465,3883,1661,1484,275,1195
4620223.02,CT,Montréal,0.19523,3085,1320,1186,265,930
4620224.00,CT,Montréal,0.37866,5937,2608,2395,535,1835
4620225.00,CT,Montréal,0.65098,1400,692,639,260,405
4620226.00,CT,Montréal,0.24482,3143,1681,1595,520,1075
4620227.00,CT,Montréal,0.11595,1592,820,779,240,555
4620228.00,CT,Montréal,0.11288,1721,830,794,280,495
4620229.00,CT,Montréal,0.473,0,0,0,x,x
4620230.00,CT,Montréal,0.11511,1880,988,948,310,660
