GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1627: Median household income $
4620080.00,CT,Montréal,0.0862308626600504,821,420,410,33185
4620081.00,CT,Montréal,0.259764508722365,2339,1184,1175,22435
4620082.00,CT,Montréal,0.318088250000715,2031,903,900,17099
4620083.00,CT,Montréal,0.4252976975739,3107,1445,1435,19088
4620084.00,CT,Montréal,0.366955185647249,1653,727,720,17396
4620085.00,CT,Montréal,1.17920761924791,684,293,295,23784
4620086.00,CT,Montréal,0.493363717717469,4000,1979,1970,28070
4620087.00,CT,Montréal,0.262805662654161,2997,1288,1285,21105
4620088.00,CT,Montréal,0.336420448396921,3717,1790,1790,23516
4620089.00,CT,Montréal,0.478846144271493,4913,2322,2320,26488
4620090.00,CT,Montréal,0.430309733220458,4361,2104,2090,26214
4620091.00,CT,Montréal,0.992320927332401,0,0,0,x
4620092.00,CT,Montréal,0.571303569491386,6398,2712,2705,27385
4620093.00,CT,Montréal,0.739935753581524,3127,1394,1390,24018
4620094.01,CT,Montréal,1.75179177959979,5487,2613,2585,20146
4620094.02,CT,Montréal,1.89216311835358,0,0,0,x
4620095.00,CT,Montréal,0.220156058157593,1862,1068,1045,19531
4620096.00,CT,Montréal,0.194412605024368,2204,994,980,35360
4620097.01,CT,Montréal,0.361535922790065,5743,3086,3060,20268
4620097.02,CT,Montréal,0.40366668035619,3149,1854,1815,21882
4620098.00,CT,Montréal,1.01962676357049,5431,2162,2155,38848
4620099.00,CT,Montréal,0.671372237789392,4280,2123,2095,32290
4620100.00,CT,Montréal,0.818570815864146,6977,3209,3190,27281
4620101.01,CT,Montréal,0.358123040597439,4168,1857,1850,27253
4620101.02,CT,Montréal,0.355816413101494,3723,1523,1515,20290
4620102.00,CT,Montréal,0.580458358488798,4131,1991,1975,39723
4620103.00,CT,Montréal,0.336842415596366,2359,998,990,51182
4620104.00,CT,Montréal,0.384099918077528,2814,1106,1095,57740
4620105.00,CT,Montréal,0.295441812003851,3381,1578,1560,52052
4620106.00,CT,Montréal,0.225153798438072,1916,879,870,39729
4620107.00,CT,Montréal,0.162546567330644,1404,729,715,15256
4620108.00,CT,Montréal,0.5510677968961,3952,1614,1600,47519
4620109.00,CT,Montréal,0.18047504370302,1983,993,985,30256
4620110.00,CT,Montréal,0.233994742555961,3558,1936,1920,25369
4620111.00,CT,Montréal,0.738642523047388,6419,2785,2770,28684
4620112.01,CT,Montréal,0.498935325160742,5039,1746,1745,19448
4620112.02,CT,Montréal,0.279401921683192,4165,1970,1965,14643
4620113.00,CT,Montréal,0.509975520045429,5114,2137,2115,28602
4620114.00,CT,Montréal,0.274747647948265,2034,902,885,41537
4620115.01,CT,Montréal,0.211688312071085,2036,886,865,51024
4620115.02,CT,Montréal,0.413999311341822,5696,3630,3515,31345
4620116.00,CT,Montréal,0.644812526592433,6903,2987,2935,20499
4620117.00,CT,Montréal,0.276069781057239,4632,1457,1450,22555
4620118.00,CT,Montréal,0.301250505224228,4357,1509,1500,25271
4620119.00,CT,Montréal,0.418728248692751,6183,2267,2265,18304
4620120.00,CT,Montréal,3.07931636273926,3685,1636,1625,24882
4620121.00,CT,Montréal,0.395864897950888,1389,572,570,62177
4620122.00,CT,Montréal,0.663782900927901,6936,2881,2845,16737
4620123.00,CT,Montréal,0.409754568500966,6442,3203,3100,20172
4620124.00,CT,Montréal,0.37782869508183,5552,2545,2495,17335
