GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_4305: Total - Owner households in non-farm, non-reserve private dwellings","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings"
4620491.00,CT,0491.00,9.7735,2495,796,749,685,55
4620500.00,CT,0500.00,7.4457,951,377,352,290,65
4620511.01,CT,0511.01,1.4385,3325,1228,1187,980,200
4620511.02,CT,0511.02,1.5293,6667,2487,2435,1050,1385
4620512.02,CT,0512.02,1.4539,4568,1946,1872,1330,515
4620512.03,CT,0512.03,0.6725,2552,1349,1282,755,535
4620512.04,CT,0512.04,1.7652,6579,2477,2406,1675,750
4620513.01,CT,0513.01,1.0855,5002,1719,1692,1125,590
4620513.02,CT,0513.02,1.2478,4581,1942,1859,910,925
4620514.01,CT,0514.01,1.9944,6896,2726,2669,1850,820
4620514.02,CT,0514.02,1.875,6132,2197,2164,1630,535
4620515.01,CT,0515.01,9.0447,6413,2271,2208,1635,570
4620515.02,CT,0515.02,0.9242,4376,1531,1523,1030,495
4620515.03,CT,0515.03,0.9666,3453,1264,1243,1010,255
4620515.04,CT,0515.04,0.8337,3708,1368,1341,890,430
4620520.02,CT,0520.02,1.6247,7112,2574,2508,1870,635
4620520.03,CT,0520.03,1.4846,3764,1362,1334,885,485
4620520.04,CT,0520.04,1.06,4638,1767,1724,870,825
4620521.01,CT,0521.01,0.8407,4857,2018,1956,1260,710
4620521.04,CT,0521.04,1.4022,4768,1758,1721,1325,390
4620521.05,CT,0521.05,1.347,4587,1483,1463,1275,175
4620521.06,CT,0521.06,2.0916,5147,1965,1926,1640,285
4620521.07,CT,0521.07,2.0587,4070,1276,1263,1160,100
4620522.01,CT,0522.01,1.2254,3464,1336,1318,1085,265
4620522.02,CT,0522.02,1.0867,3506,1405,1361,910,425
4620523.00,CT,0523.00,0.7628,2490,819,809,795,25
4620530.00,CT,0530.00,2.2488,6130,2244,2179,1835,365
4620540.00,CT,0540.00,0.8581,3969,1768,1673,580,1065
4620550.02,CT,0550.02,13.2162,3327,1323,1269,1055,210
4620550.03,CT,0550.03,4.9277,6780,2308,2272,2100,205
4620550.04,CT,0550.04,4.364,4809,1838,1806,1495,315
4620570.00,CT,0570.00,12.1514,4394,2124,2018,760,1260
4620580.01,CT,0580.01,1.169,4853,2409,2327,1215,1110
4620580.02,CT,0580.02,0.8104,3235,1631,1610,1390,225
4620580.03,CT,0580.03,1.0635,3829,1626,1595,1100,485
4620581.01,CT,0581.01,1.2978,5825,2087,2048,1395,630
4620581.02,CT,0581.02,0.6692,3490,1587,1539,775,780
4620582.01,CT,0582.01,1.1604,6340,3184,3059,1520,1540
4620582.02,CT,0582.02,1.2909,5918,2706,2658,1405,1270
4620583.00,CT,0583.00,0.7474,3208,1358,1320,780,525
4620584.00,CT,0584.00,1.6026,7066,3437,3328,1355,1975
4620585.01,CT,0585.01,3.4424,2281,925,903,705,205
4620585.02,CT,0585.02,5.6,3824,1803,1758,795,960
4620590.01,CT,0590.01,1.4872,5526,2321,2247,995,1275
4620590.02,CT,0590.02,0.3001,3452,1469,1395,360,1015
4620591.01,CT,0591.01,0.4872,2704,1098,1041,595,505
4620591.02,CT,0591.02,0.6851,4117,1709,1659,725,880
4620592.00,CT,0592.00,0.9578,7570,3219,3096,1020,2075
4620593.01,CT,0593.01,1.0422,4862,2656,2586,1625,940
4620593.02,CT,0593.02,0.4852,4575,2065,1980,565,1440
4620594.01,CT,0594.01,0.4003,2848,1367,1336,230,1105
4620594.02,CT,0594.02,7.8918,7589,3490,3391,2015,1375
4620600.01,CT,0600.01,0.7407,4022,1623,1585,460,1180
4620600.02,CT,0600.02,0.4129,4118,1795,1715,360,1300
4620600.03,CT,0600.03,0.6969,7091,2794,2642,970,1675
4620601.01,CT,0601.01,0.3211,3373,1386,1324,490,810
4620601.02,CT,0601.02,0.4275,4827,2015,1939,735,1220
4620602.01,CT,0602.01,0.5394,3780,1676,1621,475,1145
4620602.02,CT,0602.02,0.6154,2794,1221,1168,270,905
4620603.01,CT,0603.01,0.5328,3598,1543,1469,355,1110
4620603.02,CT,0603.02,0.6244,4252,1665,1583,670,970
4620603.03,CT,0603.03,0.3558,3281,1372,1231,290,885
4620604.01,CT,0604.01,0.9351,3550,1329,1290,865,395
4620604.02,CT,0604.02,0.3408,4517,1800,1724,445,1275
4620604.03,CT,0604.03,0.4952,3012,1277,1227,420,810
4620604.04,CT,0604.04,0.7591,3457,1385,1332,340,990
4620604.05,CT,0604.05,0.5921,5279,1931,1883,760,1155
4620605.01,CT,0605.01,1.3507,3525,1672,1595,550,1025
4620605.02,CT,0605.02,0.5781,1997,749,731,600,130
4620605.03,CT,0605.03,1.0307,5854,2475,2373,640,1740
4620605.04,CT,0605.04,1.5874,4898,1985,1914,700,1210
4620605.05,CT,0605.05,0.5718,2270,949,919,555,390
4620610.01,CT,0610.01,0.9303,4777,2096,2002,400,1640
4620610.02,CT,0610.02,0.4617,4612,1943,1816,565,1235
4620610.03,CT,0610.03,0.7841,5684,2284,2185,1010,1195
4620610.04,CT,0610.04,0.1946,3973,1840,1742,105,1665
4620610.05,CT,0610.05,0.3851,4856,2206,2106,225,1880
4620610.06,CT,0610.06,0.3429,2822,1170,1127,225,900
4620610.07,CT,0610.07,0.5504,4659,1645,1553,310,1215
4620611.01,CT,0611.01,0.7077,3036,1247,1186,355,790
4620611.02,CT,0611.02,0.5645,5839,2413,2315,665,1650
4620612.00,CT,0612.00,0.7476,4813,2000,1922,690,1220
4620613.00,CT,0613.00,0.9911,7813,3312,3146,1010,2135
4620614.00,CT,0614.00,0.4446,3827,1814,1718,565,1145
4620615.00,CT,0615.00,0.56,5848,2441,2319,675,1665
4620616.00,CT,0616.00,0.7548,6896,2834,2695,690,2005
4620617.01,CT,0617.01,0.9045,5616,2268,2199,1070,1130
4620617.02,CT,0617.02,0.6563,3904,1717,1627,745,895
4620618.00,CT,0618.00,0.4987,3611,1782,1682,445,1225
4620619.00,CT,0619.00,0.5857,5885,3268,2989,570,2425
4620625.01,CT,0625.01,5.0655,6036,2213,2173,1830,375
4620625.02,CT,0625.02,1.9972,7955,2674,2643,2330,315
4620626.00,CT,0626.00,10.5631,7631,2719,2675,2365,310
4620627.00,CT,0627.00,5.1333,6628,2992,2757,1265,1490
4620628.01,CT,0628.01,1.7506,4820,2020,1973,1245,740
4620628.02,CT,0628.02,0.8176,3746,1617,1579,900,665
4620629.00,CT,0629.00,1.1907,3515,1359,1328,1135,190
4620630.01,CT,0630.01,1.2061,3710,1323,1307,1220,90
4620630.02,CT,0630.02,2.1947,5177,1982,1949,1710,240
4620631.00,CT,0631.00,24.9325,7777,2638,2603,2280,310
4620632.01,CT,0632.01,1.5182,5094,2071,2016,1440,565
4620632.02,CT,0632.02,1.9894,4836,1926,1871,1200,690
4620632.03,CT,0632.03,4.1092,5789,1849,1812,1335,475
4620632.04,CT,0632.04,1.8982,6996,3077,3007,2035,970
4620633.00,CT,0633.00,1.6331,5272,2080,2033,1505,525
4620634.00,CT,0634.00,0.8184,3212,1381,1342,820,510
4620635.00,CT,0635.00,1.0341,5666,2521,2410,1160,1265
4620636.00,CT,0636.00,2.2276,7443,3164,3074,1075,2000
4620637.01,CT,0637.01,1.5876,4978,1923,1897,1355,540
4620637.02,CT,0637.02,1.4114,4344,2297,2186,660,1525
4620638.01,CT,0638.01,0.9182,5428,2579,2524,1075,1450
4620638.02,CT,0638.02,0.449,2204,864,838,585,235
4620638.03,CT,0638.03,0.6781,4605,2039,1956,705,1270
4620638.04,CT,0638.04,0.8263,6570,3292,3155,685,2470
4620639.00,CT,0639.00,1.3371,4195,2082,1990,790,1245
4620640.00,CT,0640.00,0.7966,4497,2130,1806,955,875
4620641.01,CT,0641.01,1.3546,9049,4250,4097,1365,2730
4620641.02,CT,0641.02,1.2817,4179,2252,2006,1265,690
4620642.00,CT,0642.00,9.6387,7814,3362,3274,1585,1695
4620643.01,CT,0643.01,3.1737,7446,3143,2974,1630,1355
4620643.02,CT,0643.02,3.5792,10182,5864,5352,2115,3225
4620643.03,CT,0643.03,1.5499,5735,2545,2453,1130,1325
4620644.00,CT,0644.00,1.4863,1244,556,522,350,150
4620645.00,CT,0645.00,1.5275,5719,2814,2259,590,1670
4620646.01,CT,0646.01,0.5192,3906,1655,1569,400,1150
4620646.02,CT,0646.02,0.6292,4009,1679,1587,750,825
4620646.03,CT,0646.03,0.4967,4036,1978,1877,550,1330
4620647.01,CT,0647.01,0.2894,3229,2079,1989,1205,825
4620647.02,CT,0647.02,1.615,8016,3858,3498,1915,1540
4620648.00,CT,0648.00,1.1321,5330,1964,1883,1350,555
4620649.01,CT,0649.01,1.4528,2701,1021,980,635,350
4620649.02,CT,0649.02,1.2943,5434,2031,1980,1350,625
4620650.01,CT,0650.01,0.7661,4401,1684,1582,980,605
4620650.02,CT,0650.02,0.7289,4168,1606,1524,705,815
4620650.04,CT,0650.04,1.7805,6944,2792,2686,1285,1395
4620650.05,CT,0650.05,0.8692,4189,1520,1458,935,530
4620651.01,CT,0651.01,2.1584,6460,2396,2343,1885,460
4620651.02,CT,0651.02,5.0705,8319,2618,2594,2325,265
