GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4620853.04,CT,0853.04,12.5921,5613,1971,1955,4450,1195,3025,1065
4620854.01,CT,0854.01,2.8207,5486,2002,1972,4320,2235,2510,1680
4620854.02,CT,0854.02,19.975,5980,2377,2350,5010,2045,2880,1540
4620855.01,CT,0855.01,7.7906,4808,1952,1931,3965,1440,2435,1105
4620855.03,CT,0855.03,3.9478,6481,3135,3045,5385,1975,3040,1470
4620855.04,CT,0855.04,8.314,3518,1163,1148,2610,1315,1810,1170
4620856.00,CT,0856.00,15.4925,3588,1987,1773,3065,760,2035,655
4620857.01,CT,0857.01,1.4888,5310,2356,2293,4465,685,2480,530
4620857.02,CT,0857.02,1.1806,4294,1702,1669,3525,605,2330,555
4620857.06,CT,0857.06,1.4269,5696,2300,2248,4620,840,2990,685
4620857.07,CT,0857.07,10.184,7509,2725,2699,6070,1540,4160,1335
4620857.08,CT,0857.08,3.8631,5836,3014,2957,4925,870,3010,690
4620857.09,CT,0857.09,2.3058,5424,2361,2321,4640,1625,3050,1405
4620857.10,CT,0857.10,6.5946,7888,3194,3106,6265,1925,4505,1745
4620857.11,CT,0857.11,2.172,3606,1522,1504,3035,605,2100,550
4620857.12,CT,0857.12,1.0926,4053,1551,1520,3290,570,2145,475
4620858.01,CT,0858.01,1.5134,4910,1896,1856,4080,915,2590,790
4620858.02,CT,0858.02,1.2,3988,1621,1581,3235,510,2130,445
4620858.04,CT,0858.04,2.795,5772,2083,2053,4655,1110,3020,1010
4620858.05,CT,0858.05,10.1118,3318,1209,1176,2610,640,1840,585
4620859.00,CT,0859.00,0.7499,3254,1246,1197,2675,730,1895,670
4620860.01,CT,0860.01,1.6614,6199,2471,2437,5145,1300,3120,1045
4620860.02,CT,0860.02,1.2062,4028,1650,1600,3150,800,2030,670
4620861.00,CT,0861.00,1.9084,6970,3489,3323,5710,1855,3645,1455
4620862.00,CT,0862.00,2.2239,6833,3265,3158,5415,2685,2925,1860
4620863.01,CT,0863.01,1.405,3686,1659,1596,2895,1495,1635,1060
4620863.02,CT,0863.02,1.9215,7102,3954,3699,5865,2830,3345,2045
4620864.00,CT,0864.00,2.012,5140,2180,2099,4200,2525,2540,1895
4620865.00,CT,0865.00,0.5206,1829,1034,988,1625,295,1115,265
4620866.00,CT,0866.00,0.4911,3223,1836,1748,2690,405,1875,325
4620867.00,CT,0867.00,1.5298,6932,3469,3362,5560,1015,3895,925
4620868.01,CT,0868.01,1.5947,6184,2549,2474,5045,845,3215,755
4620868.02,CT,0868.02,1.2083,6590,2989,2862,5345,810,3655,745
4620869.00,CT,0869.00,1.0698,3145,1318,1300,2630,610,1560,480
4620870.01,CT,0870.01,1.0085,3735,1660,1600,2915,425,2030,380
4620870.02,CT,0870.02,0.5934,2306,1067,1017,1885,335,1210,280
4620871.01,CT,0871.01,0.7392,3866,1868,1798,3155,695,2000,605
4620871.02,CT,0871.02,0.4888,2058,862,839,1740,345,1135,275
4620872.00,CT,0872.00,1.7171,6671,3200,3040,5345,890,3750,800
4620873.01,CT,0873.01,0.4215,4452,2093,1992,3490,500,2465,420
4620873.02,CT,0873.02,0.6552,4486,2334,2255,3675,485,2545,440
4620874.00,CT,0874.00,0.8613,5233,2504,2384,4275,755,2900,685
4620875.00,CT,0875.00,0.745,4916,2639,2519,4090,725,2800,640
4620876.01,CT,0876.01,0.7228,4162,1749,1686,3155,610,2230,540
4620876.04,CT,0876.04,2.6388,8283,2956,2931,6455,2480,4400,2115
4620876.05,CT,0876.05,4.6766,9332,4188,4095,7625,2355,4825,1830
4620876.06,CT,0876.06,1.0128,6064,2540,2478,4815,1035,3155,850
