GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,"v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings"
4620581.02,CT,Montréal,0.6809,3317,1580,1409,0.24,825.0,585.0
4620582.01,CT,Montréal,1.17818,6531,3209,3072,0.105,1495.0,1575.0
4620582.02,CT,Montréal,1.25885,6127,2728,2638,0.188,1445.0,1190.0
4620583.00,CT,Montréal,0.7515,3218,1365,1313,0.257,780.0,525.0
4620584.00,CT,Montréal,1.63684,6814,3236,3088,0.155,1280.0,1810.0
4620585.01,CT,Montréal,3.50372,2019,778,769,0.21899999999999997,700.0,65.0
4620585.02,CT,Montréal,5.57999,3968,1806,1712,0.266,735.0,980.0
4620590.01,CT,Montréal,1.41876,5383,2298,2210,0.161,895.0,1310.0
4620590.02,CT,Montréal,0.29182,3136,1444,1369,0.218,370.0,1000.0
4620591.01,CT,Montréal,0.48648,2557,1100,1047,0.203,575.0,490.0
4620591.02,CT,Montréal,0.68275,4076,1716,1648,0.214,790.0,855.0
4620592.00,CT,Montréal,0.97608,7181,3202,3081,0.125,1005.0,2075.0
4620593.01,CT,Montréal,1.02222,5010,3118,3054,0.17600000000000002,1835.0,1220.0
4620593.02,CT,Montréal,0.48232,4402,2083,1969,0.175,635.0,1335.0
4620594.01,CT,Montréal,0.39382,2766,1355,1338,0.26,275.0,1050.0
4620594.02,CT,Montréal,7.96262,7417,3490,3395,0.149,1985.0,1415.0
4620600.01,CT,Montréal,0.75009,3833,1605,1561,0.2,490.0,1070.0
4620600.02,CT,Montréal,0.4173,4028,1832,1746,0.172,360.0,1385.0
4620600.03,CT,Montréal,0.71666,6415,2618,2485,0.22,760.0,1725.0
4620601.01,CT,Montréal,0.31832,3293,1380,1339,0.266,535.0,800.0
4620601.02,CT,Montréal,0.423,4085,1980,1877,0.168,675.0,1205.0
4620602.01,CT,Montréal,0.54555,3487,1532,1497,0.292,575.0,920.0
4620602.02,CT,Montréal,0.62028,2733,1207,1134,0.26899999999999996,255.0,880.0
4620603.01,CT,Montréal,0.52509,3759,1549,1461,0.111,410.0,1065.0
4620603.02,CT,Montréal,0.61898,3691,1683,1634,0.214,550.0,1085.0
4620603.03,CT,Montréal,0.35492,3517,1390,1304,0.201,315.0,970.0
4620604.01,CT,Montréal,0.91207,3205,1174,1149,0.239,935.0,215.0
4620604.02,CT,Montréal,0.32222,4466,1825,1772,0.132,415.0,1360.0
4620604.03,CT,Montréal,0.49447,3007,1287,1224,0.254,455.0,760.0
4620604.04,CT,Montréal,0.78121,3318,1372,1322,0.26899999999999996,425.0,915.0
4620604.05,CT,Montréal,0.60067,4686,1824,1762,0.284,750.0,1015.0
4620605.01,CT,Montréal,1.33932,3421,1552,1490,0.174,655.0,855.0
4620605.02,CT,Montréal,0.59212,1999,746,728,0.256,640.0,80.0
4620605.03,CT,Montréal,1.03503,5856,2481,2409,0.214,790.0,1620.0
4620605.04,CT,Montréal,1.58299,4803,1981,1900,0.29600000000000004,720.0,1175.0
4620605.05,CT,Montréal,0.56664,2098,878,841,0.258,475.0,380.0
4620610.01,CT,Montréal,0.94827,4512,2104,1891,0.242,375.0,1510.0
4620610.02,CT,Montréal,0.46124,4539,1896,1788,0.23199999999999998,530.0,1255.0
4620610.03,CT,Montréal,0.78446,5203,2451,2248,0.17,1120.0,1130.0
4620610.04,CT,Montréal,0.19283,3957,1849,1682,0.27,70.0,1615.0
4620610.05,CT,Montréal,0.37911,4293,2082,1803,0.21100000000000002,40.0,1740.0
4620610.06,CT,Montréal,0.34565,2778,1170,1086,0.311,370.0,735.0
4620610.07,CT,Montréal,0.55124,4515,2066,1934,0.28600000000000003,235.0,1700.0
4620611.01,CT,Montréal,0.70977,2808,1234,1165,0.373,450.0,715.0
4620611.02,CT,Montréal,0.57316,5497,2366,2174,0.11199999999999999,655.0,1520.0
4620612.00,CT,Montréal,0.75507,4210,1852,1717,0.24600000000000002,505.0,1210.0
4620613.00,CT,Montréal,0.99063,7112,3061,2848,0.21100000000000002,895.0,1955.0
4620614.00,CT,Montréal,0.46072,3562,1650,1551,0.09699999999999999,490.0,1060.0
4620615.00,CT,Montréal,0.56345,5646,2377,2223,0.21100000000000002,550.0,1680.0
4620616.00,CT,Montréal,0.76573,6527,2735,2537,0.2,770.0,1770.0
4620617.01,CT,Montréal,0.89203,5414,2263,2147,0.17300000000000001,1050.0,1100.0
4620617.02,CT,Montréal,0.65189,3933,1733,1618,0.17300000000000001,695.0,920.0
4620618.00,CT,Montréal,0.49923,3363,1677,1580,0.21,490.0,1090.0
4620619.00,CT,Montréal,0.54935,5999,3243,3001,0.24600000000000002,695.0,2300.0
4620625.01,CT,Laval,5.13304,6111,2164,2125,0.313,1875.0,250.0
4620625.02,CT,Laval,1.96637,6982,2452,2371,0.19399999999999998,2090.0,285.0
4620626.00,CT,Laval,10.55285,6203,2137,2064,0.14300000000000002,1775.0,285.0
4620627.00,CT,Laval,5.23843,6656,2940,2757,0.14400000000000002,1300.0,1455.0
4620628.01,CT,Laval,1.75843,4672,1999,1933,0.138,1185.0,745.0
4620628.02,CT,Laval,0.78358,3709,1613,1572,0.266,900.0,670.0
4620629.00,CT,Laval,1.21192,3414,1325,1307,0.249,1140.0,185.0
4620630.01,CT,Laval,1.2192,3696,1325,1309,0.23399999999999999,1255.0,35.0
4620630.02,CT,Laval,2.20569,5194,1937,1920,0.23,1720.0,195.0
4620631.00,CT,Laval,25.07612,6825,2094,2060,0.307,2000.0,30.0
4620632.01,CT,Laval,1.49425,5027,2045,2021,0.22,1425.0,600.0
4620632.02,CT,Laval,1.99364,4831,1931,1886,0.265,1225.0,665.0
4620632.03,CT,Laval,4.13625,5606,2141,2108,0.239,1250.0,855.0
4620632.04,CT,Laval,1.87466,7273,3040,2975,0.131,2045.0,930.0
4620633.00,CT,Laval,1.61458,5143,2438,2333,0.228,1570.0,765.0
4620634.00,CT,Laval,0.82935,2909,1266,1211,0.265,760.0,450.0
4620635.00,CT,Laval,1.04581,5210,2257,2071,0.37,1125.0,950.0
4620636.00,CT,Laval,2.23097,6907,3108,2954,0.20199999999999999,955.0,2005.0
4620637.01,CT,Laval,1.57426,4963,1915,1878,0.27699999999999997,1310.0,565.0
4620637.02,CT,Laval,1.43304,4131,2169,2096,0.302,600.0,1495.0
