GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620001.00,CT,Montréal,0.4583,2445,1226,1165,1910
4620002.00,CT,Montréal,0.3865,2734,1339,1280,2175
4620003.00,CT,Montréal,0.7392,6522,2945,2850,4990
4620004.00,CT,Montréal,0.4516,3213,1575,1525,2530
4620005.00,CT,Montréal,0.562,3171,1630,1565,2510
4620006.00,CT,Montréal,0.6476,4541,2081,2015,3350
4620007.00,CT,Montréal,1.0993,5699,2849,2780,4620
4620008.00,CT,Montréal,0.6239,2957,1441,1385,2370
4620009.00,CT,Montréal,4.27,3657,1669,1615,2810
4620010.00,CT,Montréal,0.9323,1444,674,665,1160
4620011.00,CT,Montréal,1.2497,4652,1981,1925,3175
4620012.01,CT,Montréal,0.236,2637,1329,1320,2145
4620012.02,CT,Montréal,0.3967,4206,2113,2080,3285
4620013.00,CT,Montréal,1.0834,4355,2395,2315,3675
4620014.01,CT,Montréal,0.9061,5876,3120,3050,4690
4620014.02,CT,Montréal,0.8819,0,9,0,x
4620015.00,CT,Montréal,0.3754,3421,1784,1710,2595
4620016.00,CT,Montréal,0.5188,2737,1230,1180,1890
4620017.00,CT,Montréal,0.2233,2022,1015,995,1600
4620018.00,CT,Montréal,0.3673,2158,1169,1150,1710
4620019.00,CT,Montréal,0.3367,2329,1252,1215,1875
4620021.00,CT,Montréal,0.44,3220,1637,1565,2485
4620022.00,CT,Montréal,0.1697,1752,838,815,1300
4620023.00,CT,Montréal,0.3575,1135,582,575,910
4620024.00,CT,Montréal,0.2739,2621,1368,1330,2100
4620025.00,CT,Montréal,0.2247,2919,1344,1310,2090
4620026.00,CT,Montréal,0.1729,1981,1120,1075,1600
4620027.00,CT,Montréal,0.0949,1807,967,920,1470
4620028.00,CT,Montréal,0.155,2158,1182,1165,1815
4620029.00,CT,Montréal,0.3976,3807,2010,1960,3000
4620030.00,CT,Montréal,0.2993,3360,1814,1770,2680
4620031.00,CT,Montréal,0.2523,2782,1550,1520,2400
4620032.00,CT,Montréal,0.127,1457,965,875,1260
4620033.00,CT,Montréal,0.1575,1893,992,950,1520
4620034.00,CT,Montréal,0.2168,2529,1253,1200,1980
4620035.00,CT,Montréal,0.182,2092,1187,1150,1765
4620036.00,CT,Montréal,0.1852,1929,1108,1080,1600
4620037.00,CT,Montréal,0.5078,2848,1738,1685,2495
4620038.00,CT,Montréal,0.2152,1858,984,940,1360
4620039.00,CT,Montréal,0.4719,1483,726,690,1115
4620040.00,CT,Montréal,2.6328,0,0,0,x
4620041.00,CT,Montréal,0.2622,1607,990,965,1455
4620042.00,CT,Montréal,0.1049,877,555,530,825
4620043.00,CT,Montréal,0.4115,892,512,475,845
4620044.00,CT,Montréal,0.1362,2118,1243,1180,1780
4620045.00,CT,Montréal,0.1175,1554,997,955,1380
4620046.00,CT,Montréal,0.1604,1902,1161,1115,1650
4620047.00,CT,Montréal,0.1156,773,433,415,630
4620048.00,CT,Montréal,0.1399,2134,1224,1185,1920
4620049.00,CT,Montréal,0.164,1438,837,800,1165
4620050.00,CT,Montréal,0.0711,1329,757,730,1065
4620051.00,CT,Montréal,0.2168,1369,912,820,1195
4620052.00,CT,Montréal,0.1399,2003,1188,1145,1815
4620053.00,CT,Montréal,0.1028,1017,579,525,780
4620054.00,CT,Montréal,0.1541,1212,553,515,
4620055.01,CT,Montréal,0.7092,2618,1892,1565,2385
4620055.02,CT,Montréal,1.3214,417,266,225,395
4620056.00,CT,Montréal,0.2881,1161,552,460,
4620057.00,CT,Montréal,0.1447,879,263,250,335
4620058.00,CT,Montréal,0.1523,944,641,555,805
4620059.00,CT,Montréal,0.2024,1284,774,710,1185
4620060.00,CT,Montréal,0.0902,1724,790,775,1135
4620061.00,CT,Montréal,0.2161,434,310,260,365
4620062.00,CT,Montréal,0.8296,293,195,120,250
4620063.00,CT,Montréal,0.3618,354,258,185,290
4620064.00,CT,Montréal,0.2379,1279,670,540,
4620065.01,CT,Montréal,0.1361,6095,4522,3985,5410
4620065.02,CT,Montréal,0.1475,2653,1913,1580,2350
4620066.01,CT,Montréal,0.2043,2858,1764,1470,2425
4620066.02,CT,Montréal,0.1541,2022,1619,1425,1860
4620067.00,CT,Montréal,0.1763,1765,842,795,1270
4620068.00,CT,Montréal,0.1913,2088,700,675,1055
4620069.00,CT,Montréal,0.7051,1706,1028,880,1510
4620070.00,CT,Montréal,0.6222,527,466,320,505
4620071.00,CT,Montréal,0.4443,0,0,0,x
4620072.00,CT,Montréal,2.5825,3383,1794,1610,2485
4620073.00,CT,Montréal,0.3584,1065,658,590,850
4620074.00,CT,Montréal,0.3994,3644,1818,1640,2665
4620075.00,CT,Montréal,0.3128,2660,1347,1250,1980
4620076.00,CT,Montréal,0.3762,2458,1273,1175,1805
4620077.00,CT,Montréal,0.4452,2289,1021,965,1475
4620078.00,CT,Montréal,0.4048,3317,1751,1660,2595
4620079.00,CT,Montréal,0.6283,3815,2098,1920,3000
4620080.00,CT,Montréal,0.0904,743,428,380,615
4620081.00,CT,Montréal,0.2638,2294,1313,1190,1900
4620082.00,CT,Montréal,0.2732,2035,1060,945,1500
4620083.00,CT,Montréal,0.45,3008,1602,1455,2370
4620084.00,CT,Montréal,0.3866,1668,833,750,1130
4620085.00,CT,Montréal,1.2596,734,347,285,540
4620086.00,CT,Montréal,0.523,3724,2113,1910,3090
4620087.00,CT,Montréal,0.2615,3057,1456,1305,2220
4620088.00,CT,Montréal,0.3338,3704,1897,1835,2905
4620089.00,CT,Montréal,0.5139,4882,2443,2360,3995
4620090.00,CT,Montréal,0.4481,4442,2192,2140,3545
4620091.00,CT,Montréal,1.0616,0,0,0,x
4620092.00,CT,Montréal,0.5604,6442,2857,2795,4915
4620093.00,CT,Montréal,0.7725,3257,1591,1475,2455
4620094.01,CT,Montréal,1.7814,5672,2905,2735,4425
4620094.02,CT,Montréal,1.9562,0,0,0,x
4620095.00,CT,Montréal,0.2261,1877,1144,1070,1620
4620096.00,CT,Montréal,0.1863,2233,1103,1040,1770
4620097.01,CT,Montréal,0.3529,6040,3392,3215,4830
4620097.02,CT,Montréal,0.3929,3487,2022,1935,2765
4620098.00,CT,Montréal,1.0272,5372,2289,2190,4000
4620099.00,CT,Montréal,0.689,4206,2465,2080,3335
4620100.00,CT,Montréal,0.8131,7483,3487,3375,5695
4620101.01,CT,Montréal,0.3554,4165,1963,1885,3200
4620101.02,CT,Montréal,0.3634,4001,1663,1620,2805
4620102.00,CT,Montréal,0.5925,4137,2121,2055,3315
4620103.00,CT,Montréal,0.3394,2425,1101,1065,1825
4620104.00,CT,Montréal,0.3778,2908,1141,1130,2095
4620105.00,CT,Montréal,0.3063,3518,1693,1650,2805
4620106.00,CT,Montréal,0.225,1894,912,885,1440
4620107.00,CT,Montréal,0.1663,1357,819,730,1130
4620108.00,CT,Montréal,0.5698,3900,1671,1565,2790
4620109.00,CT,Montréal,0.1755,2031,1098,1030,1680
4620110.00,CT,Montréal,0.2389,3805,2076,1975,3040
4620111.00,CT,Montréal,0.735,6737,3055,2920,5110
4620112.01,CT,Montréal,0.6427,5283,1768,1720,3475
4620112.02,CT,Montréal,0.2803,4431,2045,2005,3345
4620113.00,CT,Montréal,0.5027,5378,2255,2185,4020
4620114.00,CT,Montréal,0.286,2014,950,890,1600
4620115.01,CT,Montréal,0.2186,2056,954,870,1575
4620115.02,CT,Montréal,0.4275,5997,3802,3635,5335
4620116.00,CT,Montréal,0.6399,7329,3246,3085,5255
4620117.00,CT,Montréal,0.2725,4704,1571,1540,3080
4620118.00,CT,Montréal,0.2975,4573,1603,1550,3185
4620119.00,CT,Montréal,0.5684,6707,2534,2465,4610
4620120.00,CT,Montréal,2.7841,3764,1648,1600,2825
4620121.00,CT,Montréal,0.3756,1679,702,690,1280
4620122.00,CT,Montréal,0.6671,7213,3255,3105,5165
4620123.00,CT,Montréal,0.412,6553,3373,3200,5215
4620124.00,CT,Montréal,0.38,5951,2791,2660,4420
4620125.00,CT,Montréal,0.4677,6448,2851,2750,4840
4620126.00,CT,Montréal,0.7356,2089,1085,860,1765
