GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620450.00,CT,Pointe-Claire,3.7652,7082,3131,3045,5445
4620451.00,CT,Pointe-Claire,3.325,6559,2531,2475,4700
4620452.00,CT,Pointe-Claire,3.1703,6292,2749,2665,4705
4620453.01,CT,Pointe-Claire,1.9808,5309,1851,1835,3760
4620453.02,CT,Pointe-Claire,6.6348,4044,1394,1375,2800
4620460.00,CT,Beaconsfield,3.5794,5302,1849,1815,3790
4620461.00,CT,Beaconsfield,1.8501,2929,1046,1030,2100
4620462.01,CT,Beaconsfield,2.3699,5265,1902,1880,3760
4620462.02,CT,Beaconsfield,3.2098,5814,1869,1825,3875
4620470.01,CT,Kirkland,3.5939,7098,2560,2530,5185
4620470.03,CT,Kirkland,2.392,4950,1428,1395,3085
4620470.04,CT,Kirkland,1.5497,3912,1165,1160,2625
4620470.05,CT,Kirkland,2.1114,4474,1263,1250,2995
4620480.00,CT,Baie-d'Urfé,6.0281,3813,1365,1325,2775
4620490.00,CT,Sainte-Anne-de-Bellevue,0.7131,2471,1360,1245,1975
4620491.00,CT,Sainte-Anne-de-Bellevue,9.8678,2591,703,685,1365
4620500.00,CT,Senneville,7.4843,970,371,360,730
4620511.00,CT,Pierrefonds,2.9595,9288,3470,3365,6330
4620512.02,CT,Pierrefonds,1.4527,4244,1689,1655,3190
4620512.03,CT,Pierrefonds,0.6838,1302,863,845,1175
4620512.04,CT,Pierrefonds,1.765,6323,2341,2300,4470
4620513.01,CT,Pierrefonds,1.106,4362,1520,1500,3100
4620513.02,CT,Pierrefonds,1.234,4276,1774,1715,3120
4620514.01,CT,Pierrefonds,1.9648,5506,2021,1990,3945
4620514.02,CT,Pierrefonds,1.8903,5871,2002,1975,4025
4620515.01,CT,Pierrefonds,9.093,3134,1047,1025,2055
4620515.02,CT,Pierrefonds,0.9514,3462,1248,1235,2310
4620515.03,CT,Pierrefonds,0.9372,3480,1228,1215,2420
4620515.04,CT,Pierrefonds,0.8377,3715,1301,1280,2550
4620520.02,CT,Dollard-des-Ormeaux,1.7106,7282,2404,2375,5205
4620520.03,CT,Dollard-des-Ormeaux,1.4997,4004,1338,1295,2825
4620520.04,CT,Dollard-des-Ormeaux,1.0701,4612,1757,1730,3430
4620521.01,CT,Dollard-des-Ormeaux,0.8401,4643,1620,1605,3235
4620521.04,CT,Dollard-des-Ormeaux,1.3943,5239,1715,1710,3705
4620521.05,CT,Dollard-des-Ormeaux,1.3689,3782,1080,1040,2345
4620521.06,CT,Dollard-des-Ormeaux,2.171,4060,1209,1190,2795
4620521.07,CT,Dollard-des-Ormeaux,2.0715,4554,1228,1210,2950
4620522.01,CT,Dollard-des-Ormeaux,1.2447,3945,1337,1315,2895
4620522.02,CT,Dollard-des-Ormeaux,1.0749,3539,1250,1235,2660
4620523.00,CT,Dollard-des-Ormeaux,0.7617,2546,812,800,1815
4620530.00,CT,Roxboro,2.1974,5642,2024,1995,4145
4620540.00,CT,Sainte-Geneviève,0.8535,3278,1537,1485,2410
4620550.02,CT,L'Île-Bizard,13.3817,2933,1075,1055,2070
4620550.03,CT,L'Île-Bizard,5.0875,5907,1918,1885,3825
4620550.04,CT,L'Île-Bizard,4.3438,5021,1735,1715,3460
4620570.00,CT,Montréal-Est,12.487,3547,1555,1495,2605
4620580.01,CT,Montréal,1.2205,4266,1755,1720,3080
4620580.02,CT,Montréal,0.7776,1857,818,805,1430
4620580.03,CT,Montréal,1.0826,4317,1544,1525,2990
4620581.01,CT,Montréal,1.3127,5793,1991,1965,3965
