GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA01_1670: Owner households in non-farm, non-reserve private dwellings","v_CA01_1666: Tenant households in non-farm, non-reserve private dwellings"
4620083.00,CT,Montréal,0.45,3008,1602,1455,240,1215
4620084.00,CT,Montréal,0.3866,1668,833,750,145,605
4620085.00,CT,Montréal,1.2596,734,347,285,65,220
4620086.00,CT,Montréal,0.523,3724,2113,1910,600,1310
4620087.00,CT,Montréal,0.2615,3057,1456,1305,290,1010
4620088.00,CT,Montréal,0.3338,3704,1897,1835,490,1345
4620089.00,CT,Montréal,0.5139,4882,2443,2360,770,1585
4620090.00,CT,Montréal,0.4481,4442,2192,2140,880,1260
4620091.00,CT,Montréal,1.0616,0,0,0,x,x
4620092.00,CT,Montréal,0.5604,6442,2857,2795,950,1825
4620093.00,CT,Montréal,0.7725,3257,1591,1475,520,955
4620094.01,CT,Montréal,1.7814,5672,2905,2735,420,2310
4620094.02,CT,Montréal,1.9562,0,0,0,x,x
4620095.00,CT,Montréal,0.2261,1877,1144,1070,95,965
4620096.00,CT,Montréal,0.1863,2233,1103,1040,295,735
4620097.01,CT,Montréal,0.3529,6040,3392,3215,385,2780
4620097.02,CT,Montréal,0.3929,3487,2022,1935,165,1750
4620098.00,CT,Montréal,1.0272,5372,2289,2190,1195,985
4620099.00,CT,Montréal,0.689,4206,2465,2080,850,1230
4620100.00,CT,Montréal,0.8131,7483,3487,3375,1065,2275
4620101.01,CT,Montréal,0.3554,4165,1963,1885,665,1205
4620101.02,CT,Montréal,0.3634,4001,1663,1620,340,1245
4620102.00,CT,Montréal,0.5925,4137,2121,2055,800,1250
4620103.00,CT,Montréal,0.3394,2425,1101,1065,625,440
4620104.00,CT,Montréal,0.3778,2908,1141,1130,725,400
4620105.00,CT,Montréal,0.3063,3518,1693,1650,665,975
4620106.00,CT,Montréal,0.225,1894,912,885,275,600
4620107.00,CT,Montréal,0.1663,1357,819,730,100,625
4620108.00,CT,Montréal,0.5698,3900,1671,1565,660,905
4620109.00,CT,Montréal,0.1755,2031,1098,1030,195,835
4620110.00,CT,Montréal,0.2389,3805,2076,1975,220,1735
4620111.00,CT,Montréal,0.735,6737,3055,2920,950,1950
4620112.01,CT,Montréal,0.6427,5283,1768,1720,390,1310
4620112.02,CT,Montréal,0.2803,4431,2045,2005,200,1800
4620113.00,CT,Montréal,0.5027,5378,2255,2185,400,1765
4620114.00,CT,Montréal,0.286,2014,950,890,285,600
4620115.01,CT,Montréal,0.2186,2056,954,870,335,535
4620115.02,CT,Montréal,0.4275,5997,3802,3635,150,3405
4620116.00,CT,Montréal,0.6399,7329,3246,3085,395,2655
4620117.00,CT,Montréal,0.2725,4704,1571,1540,190,1310
4620118.00,CT,Montréal,0.2975,4573,1603,1550,425,1120
4620119.00,CT,Montréal,0.5684,6707,2534,2465,275,2155
4620120.00,CT,Montréal,2.7841,3764,1648,1600,555,1025
4620121.00,CT,Montréal,0.3756,1679,702,690,385,305
4620122.00,CT,Montréal,0.6671,7213,3255,3105,105,2885
4620123.00,CT,Montréal,0.412,6553,3373,3200,255,2860
4620124.00,CT,Montréal,0.38,5951,2791,2660,255,2330
4620125.00,CT,Montréal,0.4677,6448,2851,2750,1160,1565
4620126.00,CT,Montréal,0.7356,2089,1085,860,215,630
4620127.01,CT,Montréal,0.4834,5372,3648,3265,295,2895
4620127.02,CT,Montréal,1.3274,0,9,0,x,x
4620128.00,CT,Montréal,3.016,3494,2038,1770,670,1085
4620129.01,CT,Montréal,0.2838,3897,2864,2330,615,1680
4620129.02,CT,Montréal,0.3628,3879,2965,2375,335,1975
4620130.00,CT,Montréal,0.1567,3196,2900,2140,280,1760
4620131.00,CT,Montréal,0.1024,3243,2789,2180,120,2035
4620132.00,CT,Montréal,0.2696,4711,3799,3115,235,2810
4620133.00,CT,Montréal,0.1465,2593,1716,1540,265,1260
4620134.00,CT,Montréal,0.0872,837,563,510,165,345
4620135.00,CT,Montréal,0.1204,1657,914,875,285,585
4620136.00,CT,Montréal,0.1814,2895,1600,1525,410,1120
4620137.00,CT,Montréal,0.1851,1151,698,615,140,455
4620138.00,CT,Montréal,0.2822,1962,1150,1025,315,715
4620139.00,CT,Montréal,0.2217,3033,1696,1630,500,1125
4620140.00,CT,Montréal,0.1169,1442,778,750,310,435
4620141.00,CT,Montréal,0.1219,1612,903,875,320,560
4620142.00,CT,Montréal,0.1067,1654,967,930,250,680
4620143.00,CT,Montréal,0.1721,2390,1550,1485,250,1235
4620144.00,CT,Montréal,0.1878,3343,2094,1985,510,1445
4620145.00,CT,Montréal,0.4397,0,0,0,x,x
4620146.00,CT,Montréal,0.1421,2362,1536,1480,410,1060
4620147.00,CT,Montréal,0.1678,2793,1628,1590,405,1180
4620148.00,CT,Montréal,0.1447,1245,498,480,170,305
4620149.00,CT,Montréal,0.1387,3322,1949,1885,455,1430
4620150.00,CT,Montréal,0.1659,2490,1441,1385,205,1170
4620151.00,CT,Montréal,0.1157,2112,1151,1120,285,840
4620152.00,CT,Montréal,0.1378,1586,902,885,170,705
4620153.00,CT,Montréal,0.2781,872,492,460,60,400
4620154.00,CT,Montréal,0.126,577,353,345,50,300
4620155.00,CT,Montréal,0.1082,1823,1075,1040,130,895
4620156.00,CT,Montréal,0.1393,1985,1166,1130,250,885
4620157.00,CT,Montréal,0.1624,2038,1144,1115,325,780
4620158.00,CT,Montréal,0.1412,2033,1323,1270,260,1000
4620159.00,CT,Montréal,0.1237,1926,1050,1020,365,660
4620160.00,CT,Montréal,0.1217,1832,1113,1085,275,805
4620161.00,CT,Montréal,0.1389,1927,1008,980,265,720
4620162.00,CT,Montréal,0.0954,1638,947,910,190,715
4620163.00,CT,Montréal,0.2023,3034,1509,1450,425,1015
4620164.00,CT,Montréal,0.0697,1655,1033,1000,195,800
4620165.00,CT,Montréal,0.1482,2439,1208,1170,190,960
4620166.00,CT,Montréal,0.232,416,226,215,60,155
4620167.00,CT,Montréal,0.2039,2452,1238,1185,260,925
4620168.00,CT,Montréal,0.1685,2496,1084,1045,340,700
4620169.00,CT,Montréal,0.1468,2303,1046,1025,335,690
4620170.00,CT,Montréal,0.1559,2345,1119,1090,245,840
4620171.00,CT,Montréal,0.4811,4336,2348,2295,670,1630
4620172.00,CT,Montréal,0.2013,1947,1318,1275,170,1090
4620173.00,CT,Montréal,0.1857,1580,993,945,180,765
4620174.00,CT,Montréal,0.2291,1586,966,945,240,705
4620175.00,CT,Montréal,0.1094,1659,962,945,285,660
4620176.00,CT,Montréal,0.1228,1564,941,915,175,745
4620177.00,CT,Montréal,0.0991,1324,750,720,145,580
4620178.00,CT,Montréal,0.2806,2364,1431,1410,160,1250
4620179.00,CT,Montréal,0.4946,3667,2183,2040,220,1815
4620180.00,CT,Montréal,0.2635,3499,1942,1830,335,1490
4620181.00,CT,Montréal,0.3306,3688,2070,1905,350,1550
4620182.00,CT,Montréal,0.1397,2141,1183,1105,335,775
4620183.00,CT,Montréal,0.1322,2294,1232,1200,265,925
4620184.00,CT,Montréal,0.2197,3033,1567,1520,440,1080
4620185.00,CT,Montréal,0.3966,5146,2882,2755,745,1995
4620186.00,CT,Montréal,0.3796,4301,2376,2260,490,1755
4620187.01,CT,Montréal,0.3652,2271,1310,1170,255,910
4620187.02,CT,Montréal,1.1338,7601,4168,3945,1435,2500
4620188.01,CT,Montréal,0.1456,2047,1169,1105,355,750
4620188.02,CT,Montréal,0.2269,2328,1409,1310,350,960
4620189.00,CT,Montréal,1.4764,0,0,0,x,x
4620190.01,CT,Montréal,0.4597,3447,1836,1785,765,1020
4620190.02,CT,Montréal,1.043,3430,1891,1850,875,980
4620191.00,CT,Montréal,1.6789,6166,3070,2970,1170,1790
4620192.00,CT,Montréal,0.7858,2810,935,920,570,355
4620193.00,CT,Montréal,0.2674,1987,945,920,375,540
4620194.00,CT,Montréal,1.1906,5265,2222,2170,875,1285
4620195.01,CT,Montréal,0.544,3580,1716,1685,535,1145
4620195.02,CT,Montréal,0.6023,5338,2485,2410,935,1460
4620195.03,CT,Montréal,0.9064,5109,2361,2305,865,1430
4620196.00,CT,Montréal,0.3993,3847,2183,2110,605,1505
4620197.00,CT,Montréal,0.5969,4707,2482,2400,730,1670
4620198.00,CT,Montréal,0.6418,4929,2579,2525,800,1710
4620199.00,CT,Montréal,0.2251,2617,1395,1360,395,960
4620200.00,CT,Montréal,0.3109,4334,2247,2190,605,1580
4620201.00,CT,Montréal,0.9273,6413,3410,3305,660,2625
4620202.00,CT,Montréal,0.6097,4288,2379,2305,645,1650
4620203.00,CT,Montréal,0.2378,2821,1536,1505,445,1045
4620204.00,CT,Montréal,0.2347,2713,1512,1470,480,990
4620205.00,CT,Montréal,0.177,2183,1202,1180,370,810
4620206.00,CT,Montréal,0.2328,2669,1460,1420,510,910
4620207.00,CT,Montréal,0.2564,3511,1845,1775,470,1305
4620208.00,CT,Montréal,0.2005,2578,1372,1310,395,915
4620209.00,CT,Montréal,0.6635,5967,3071,2905,675,2215
4620210.00,CT,Montréal,0.3266,3250,1950,1840,240,1595
4620211.00,CT,Montréal,0.1767,2300,1301,1215,220,980
4620212.00,CT,Montréal,0.1949,2475,1393,1330,305,1025
4620213.00,CT,Montréal,0.1926,2674,1381,1345,315,1015
4620214.00,CT,Montréal,0.2556,2639,1392,1335,265,1065
4620215.00,CT,Montréal,0.2314,2150,1215,1125,255,860
4620216.00,CT,Montréal,0.3215,2299,1300,1185,160,1030
4620217.00,CT,Montréal,0.1607,2723,1395,1360,205,1155
4620218.00,CT,Montréal,0.2818,3137,1599,1550,245,1300
4620219.00,CT,Montréal,0.3155,2396,1095,1030,290,740
4620220.00,CT,Montréal,0.4079,6046,2451,2395,415,1885
4620221.00,CT,Montréal,0.3252,6773,2834,2705,450,2175
4620222.00,CT,Montréal,0.201,4131,1614,1555,345,1200
4620223.01,CT,Montréal,0.1473,4538,1620,1595,210,1345
4620223.02,CT,Montréal,0.1987,3489,1306,1280,315,960
4620224.00,CT,Montréal,0.3776,6422,2488,2400,470,1910
4620225.00,CT,Montréal,0.6483,1404,678,635,275,365
4620226.00,CT,Montréal,0.2504,3229,1631,1580,435,1140
4620227.00,CT,Montréal,0.1169,1626,805,790,175,610
4620228.00,CT,Montréal,0.1131,1600,792,775,255,520
4620229.00,CT,Montréal,0.4729,0,0,0,x,x
4620230.00,CT,Montréal,0.1182,1986,995,970,240,730
4620231.00,CT,Montréal,0.1044,1689,885,870,180,680
4620232.00,CT,Montréal,0.3642,2939,1447,1415,350,1060
4620233.00,CT,Montréal,0.1074,2107,1063,1035,145,875
4620234.00,CT,Montréal,0.1502,2361,1219,1185,180,995
4620235.00,CT,Montréal,0.1184,1901,1026,995,150,840
4620236.00,CT,Montréal,0.1077,1739,932,910,220,695
4620237.00,CT,Montréal,0.2222,3262,1599,1565,365,1200
4620238.00,CT,Montréal,0.1653,2356,1270,1220,300,910
4620239.00,CT,Montréal,0.5455,4684,2597,2515,410,2075
4620240.00,CT,Montréal,0.3041,2993,1464,1435,340,1085
4620241.00,CT,Montréal,0.2143,3043,1408,1360,340,1020
4620242.00,CT,Montréal,0.3722,6611,3144,3045,750,2290
4620243.00,CT,Montréal,0.2538,4266,1835,1800,415,1375
4620244.00,CT,Montréal,0.1766,2195,1116,1090,215,865
4620245.00,CT,Montréal,0.2201,2717,1505,1455,245,1210
4620247.00,CT,Montréal,0.1943,2256,1197,1175,295,870
4620249.00,CT,Montréal,0.5363,4394,2192,2115,840,1270
4620250.00,CT,Montréal,0.4474,3955,1904,1850,720,1120
4620251.01,CT,Montréal,0.4645,3666,1554,1525,575,950
4620251.02,CT,Montréal,0.2509,2714,1206,1180,340,845
4620252.00,CT,Montréal,0.3281,5097,2304,2240,640,1575
4620253.00,CT,Montréal,0.4544,2815,1177,1140,385,750
4620254.00,CT,Montréal,0.6204,3888,1822,1700,670,1015
4620256.00,CT,Montréal,1.8575,3754,1461,1355,530,820
4620257.00,CT,Montréal,1.33,4545,1700,1595,525,1050
4620258.00,CT,Montréal,0.401,4920,1779,1680,355,1285
4620259.00,CT,Montréal,0.3558,6030,2416,2225,400,1815
4620260.00,CT,Montréal,0.547,2238,870,830,240,580
4620261.00,CT,Montréal,0.627,2713,1110,1020,440,580
4620262.00,CT,Montréal,0.7416,4610,1707,1605,560,1045
4620263.00,CT,Montréal,0.7551,4039,1662,1630,610,1025
4620264.01,CT,Montréal,1.2151,5586,2533,2455,940,1520
4620264.02,CT,Montréal,0.8903,4398,2255,2210,1205,995
4620265.00,CT,Montréal,0.4788,4485,2314,2180,710,1465
4620266.00,CT,Montréal,0.761,3296,1734,1680,275,1405
